"bpid","mlbid","Name","Age","Team","WARP","DRA.","DRA","DRA.SD","cFIP","G","GS","GR","IP","W","L","SV","ERA","RA9","FIP","WHIP","K.","BB.","K.BB","Whiff.","sbid","SPR"
47229,471911,"Carlos Carrasco",31,"CLE",5.3,77,3.46,0.37,77,32,30,2,192,17,10,0,3.38,3.66,2.94,1.13,29.5,5.5,5.4,33.5,"CCARRASCO-R",0.986812132378504
67132,592789,"Noah Syndergaard",25,"NYM",5,85,3.8,0.38,83,25,25,0,154.3,13,4,0,3.03,3.21,2.8,1.21,24.1,6.1,4,28.4,"NSYNDERGAARD-R",0.960629840460534
69172,543294,"Kyle Hendricks",28,"CUB",5,88,3.96,0.35,94,33,33,0,199,14,11,0,3.44,3.71,3.78,1.15,19.8,5.4,3.7,22,"KHENDRICKS-R",0.981273821819288
68467,572020,"James Paxton",29,"SEA",4.9,67,2.99,0.36,68,28,28,0,160.3,11,6,0,3.76,3.76,3.24,1.1,32.2,6.5,5,30.1,"JPAXTON-L",0.979332251449777
66213,554430,"Zack Wheeler",28,"NYM",4.8,82,3.66,0.37,89,29,29,0,182.3,12,7,0,3.31,3.41,3.25,1.12,24.1,7.4,3.3,24.8,"ZWHEELER-R",0.996217007214192
60625,571945,"Miles Mikolas",29,"STL",4.5,88,3.92,0.42,94,32,32,0,200.7,18,4,0,2.83,3.14,3.28,1.07,18.1,3.6,5,20.3,"MMIKOLAS-R",0.961397194754903
68694,592791,"Jameson Taillon",26,"PIT",4.2,87,3.87,0.4,92,32,32,0,191,14,10,0,3.2,3.25,3.46,1.18,22.8,5.9,3.9,24.1,"JTAILLON-R",0.956352419300542
70437,605182,"Mike Clevinger",27,"CLE",4.1,92,4.1,0.41,97,32,32,0,200,13,8,0,3.02,3.2,3.52,1.16,25.6,8.3,3.1,27.9,"MCLEVINGER-R",1.00262149416129
49786,477132,"Clayton Kershaw",30,"LAD",4.1,84,3.75,0.4,85,26,26,0,161.3,9,5,0,2.73,3.07,3.19,1.04,23.8,4.5,5.3,23,"CKERSHAW-L",0.999947241892549
66991,592314,"Mike Foltynewicz",26,"ATL",3.9,79,3.52,0.36,91,31,31,0,183,13,10,0,2.85,3.2,3.37,1.08,27.2,9.1,3,25.4,"MFOLTYNEWICZ-R",0.993042706310887
104779,656427,"Jack Flaherty",22,"STL",3.9,76,3.41,0.39,87,28,28,0,151,8,9,0,3.34,3.52,3.86,1.11,29.6,9.6,3.1,31.6,"JFLAHERTY-R",1.01748456758244
102061,601713,"Nick Pivetta",25,"PHI",3.6,76,3.4,0.41,80,33,32,1,164,7,14,0,4.77,4.99,3.79,1.3,27.1,7.3,3.7,28,"NPIVETTA-R",1.01590770560457
102254,628317,"Kenta Maeda",30,"LAD",3.6,79,3.53,0.41,85,39,20,19,125.3,8,10,2,3.81,4.16,3.22,1.26,28.8,8.1,3.6,31.8,"KMAEDA-R",1.01337055207297
61056,544931,"Stephen Strasburg",29,"WAS",3.5,74,3.31,0.41,81,22,22,0,130,10,7,0,3.74,4.08,3.62,1.2,28.7,7,4.1,28,"SSTRASBURG-R",1.00703892316114
99874,571760,"Andrew Heaney",27,"LAA",3.5,91,4.06,0.48,93,30,30,0,180,9,10,0,4.15,4.55,3.99,1.2,24,6,4,26.5,"AHEANEY-L",1.00390619021477
60448,572971,"Dallas Keuchel",30,"HOU",3.4,110,4.94,0.52,98,34,34,0,204.7,12,11,0,3.74,4.05,3.69,1.31,17.5,6.6,2.6,19.8,"DKEUCHEL-L",1.01508710591437
68759,594835,"Marco Gonzales",26,"SEA",3.3,105,4.72,0.57,96,29,29,0,166.7,13,9,0,4,4.1,3.43,1.22,21.1,4.7,4.5,21.1,"MGONZALES-L",0.997116364396677
71098,607536,"Kyle Freeland",25,"COL",3.3,100,4.47,0.46,101,33,33,0,202.3,17,7,0,2.85,2.85,3.67,1.25,20.5,8.3,2.5,21.8,"KFREELAND-L",0.923157441735118
107174,621111,"Walker Buehler",23,"LAD",3.3,74,3.32,0.33,83,24,23,1,137.3,8,5,0,2.62,2.82,3.04,0.96,27.9,6.8,4.1,25.7,"WBUEHLER-R",0.953427341633836
100718,622072,"Alex Wood",27,"LAD",3.3,92,4.11,0.46,93,33,27,6,151.7,9,7,0,3.68,4.15,3.53,1.21,21.2,6.3,3.4,23.8,"AWOOD-L",1.00645868768329
70826,548389,"Ross Stripling",28,"LAD",3.3,78,3.48,0.4,82,33,21,12,122,8,6,0,3.02,3.1,3.41,1.19,27,4.4,6.2,26,"RSTRIPLING-R",0.993589170401251
54694,456034,"David Price",32,"BOS",3.2,91,4.06,0.44,95,30,30,0,176,16,7,0,3.58,3.84,4.02,1.14,24.5,6.9,3.5,22.8,"DPRICE-L",0.962184991256284
48258,450203,"Charlie Morton",34,"HOU",3.1,76,3.39,0.43,83,30,30,0,167,15,3,0,3.13,3.4,3.59,1.16,28.9,9.2,3.1,28.7,"CMORTON-R",0.996664406757634
99821,571927,"Steven Matz",27,"NYM",3,93,4.19,0.46,94,30,30,0,154,5,11,0,3.97,4.5,4.62,1.25,23.2,8.9,2.6,23.3,"SMATZ-L",1.02156987404533
56468,502706,"Derek Holland",31,"SFO",2.9,93,4.14,0.47,96,36,30,6,171.3,7,9,0,3.57,3.89,3.87,1.29,23.2,9.2,2.5,24.1,"DHOLLAND-L",0.971006681024626
57745,519144,"Rick Porcello",29,"BOS",2.8,91,4.09,0.45,96,33,33,0,191.3,17,7,0,4.28,4.56,4.01,1.18,23.5,5.9,4,20.4,"RPORCELLO-R",0.996489442219813
46084,457918,"J.A. Happ",35,"",2.8,92,4.14,0.41,96,31,31,0,177.7,17,6,0,3.65,4.1,3.98,1.13,26.3,7,3.8,24.2,"JHAPP-L",0.973821563815614
104863,656794,"Sean Newcomb",25,"ATL",2.8,97,4.35,0.51,103,31,30,1,164,12,9,0,3.9,4.06,4.14,1.33,23,11.6,2,24.9,"SNEWCOMB-L",1.00643016780312
68557,592332,"Kevin Gausman",27,"",2.8,104,4.67,0.43,104,31,31,0,183.7,10,11,0,3.92,4.17,4.32,1.3,19.1,6.4,3,24.8,"KGAUSMAN-R",0.957029266871722
57820,543135,"Nathan Eovaldi",28,"",2.6,90,4.05,0.44,93,22,21,1,111,6,7,0,3.81,4.46,3.6,1.13,22.2,4.4,5,22,"NEOVALDI-R",1.00260727471978
108830,669456,"Shane Bieber",23,"CLE",2.6,92,4.12,0.52,87,20,19,1,114.7,11,5,0,4.55,4.71,3.23,1.33,24.3,4.7,5.1,26.2,"SBIEBER-R",0.986361919186191
60740,572362,"Robbie Erlin",27,"SDG",2.6,90,4.05,0.42,88,39,12,27,109,4,7,0,4.21,4.71,3.31,1.14,20,2.7,7.3,20.9,"RERLIN-L",1.01162728319524
58731,527054,"Julio Teheran",27,"ATL",2.5,100,4.47,0.47,115,31,31,0,175.7,9,9,0,3.94,4.1,4.83,1.17,22.4,11.6,1.9,28.5,"JTEHERAN-R",1.01516695851475
109041,670950,"Trevor Richards",25,"MIA",2.5,94,4.22,0.56,102,25,25,0,126.3,4,9,0,4.42,4.63,4.05,1.39,23.8,9.9,2.4,26,"TRICHARDS-R",1.01457303107757
70473,605397,"Joe Musgrove",25,"PIT",2.5,85,3.83,0.43,93,19,19,0,115.3,6,9,0,4.06,4.37,3.59,1.18,20.6,4.7,4.3,23.7,"JMUSGROVE-R",1.01620213667441
65801,502043,"Kyle Gibson",30,"MIN",2.5,103,4.63,0.48,103,32,32,0,196.7,10,13,0,3.62,4.03,4.13,1.3,21.7,9.6,2.3,26.9,"KGIBSON-R",1.01280742728876
59473,547888,"Masahiro Tanaka",29,"NYY",2.5,89,3.97,0.43,89,27,27,0,156,12,6,0,3.75,3.92,4.01,1.13,25,5.5,4.5,29.5,"MTANAKA-R",0.990016896297973
52691,453562,"Jake Arrieta",32,"PHI",2.4,96,4.31,0.41,98,31,31,0,172.7,10,11,0,3.96,4.85,4.26,1.29,19.1,7.9,2.4,19.3,"JARRIETA-R",1.0217831645756
70795,607192,"Tyler Glasnow",24,"",2.4,83,3.72,0.43,84,45,11,34,111.7,2,7,0,4.27,4.43,4,1.27,29.1,11.3,2.6,28.9,"TGLASNOW-R",0.995842594832356
103721,640455,"Sean Manaea",26,"OAK",2.4,104,4.68,0.48,108,27,27,0,160.7,12,9,0,3.59,3.75,4.26,1.08,16.5,4.9,3.4,20.1,"SMANAEA-L",0.980436416469573
50199,502239,"Trevor Cahill",30,"OAK",2.3,94,4.23,0.48,94,21,20,1,110,7,4,0,3.76,4.25,3.54,1.19,22.2,9.1,2.4,27.9,"TCAHILL-R",0.983734019710374
108123,664192,"Joey Lucchesi",25,"SDG",2.3,89,3.99,0.47,92,26,26,0,130,8,9,0,4.08,4.36,4.31,1.29,26.5,7.8,3.4,26,"JLUCCHESI-L",1.00437103806502
67588,593958,"Eduardo Rodriguez",25,"BOS",2.3,86,3.84,0.53,90,27,23,4,129.7,13,5,0,3.82,3.89,3.65,1.26,26.4,8.1,3.2,26.3,"ERODRIGUEZ-L",0.980578297690902
36959,448179,"Rich Hill",38,"LAD",2.1,81,3.63,0.43,89,25,24,1,132.7,11,5,0,3.66,3.87,3.97,1.12,27.4,7.5,3.7,24.8,"RHILL-L",1.00400559661241
61000,572140,"Tyler Skaggs",26,"LAA",2.1,93,4.18,0.5,89,24,24,0,125.3,8,10,0,4.02,4.31,3.63,1.33,24.2,7.5,3.2,25.5,"TSKAGGS-L",0.992298671606119
100206,592866,"Trevor Williams",26,"PIT",2,98,4.41,0.46,110,31,31,0,170.7,14,10,0,3.11,3.38,3.86,1.18,18,7.8,2.3,18.9,"TWILLIAMS-R",0.946598210117055
50101,502042,"Chris Archer",29,"",1.9,87,3.88,0.41,89,27,27,0,148.3,6,8,0,4.31,4.67,3.75,1.38,25.4,7.7,3.3,28.8,"CARCHER-R",1.0156853574103
67083,592662,"Robbie Ray",26,"ARI",1.9,87,3.91,0.56,95,24,24,0,123.7,6,2,0,3.93,4,4.31,1.35,31.4,13.3,2.4,32.3,"RRAY-L",1.0070654329268
67143,592826,"Vince Velasquez",26,"PHI",1.9,87,3.88,0.47,95,31,30,1,146.7,9,12,0,4.85,5.09,3.75,1.34,25.6,9.4,2.7,27.3,"VVELASQUEZ-R",1.02370354441297
61051,502190,"Mike Leake",30,"SEA",1.8,113,5.06,0.54,106,31,31,0,185.7,10,10,0,4.36,4.75,4.14,1.3,15.2,4.3,3.5,16.8,"MLEAKE-R",1.0082327805594
45548,452657,"Jon Lester",34,"CUB",1.8,107,4.81,0.53,111,32,32,0,181.7,18,6,0,3.32,3.72,4.39,1.31,19.6,8.4,2.3,20.5,"JLESTER-L",0.973064696039338
45534,430935,"Cole Hamels",34,"",1.8,98,4.37,0.47,96,32,32,0,190.7,9,12,0,3.78,4.39,4.49,1.26,23.3,8.1,2.9,26.7,"CHAMELS-L",0.957964016626729
57086,502748,"Brad Peacock",30,"HOU",1.8,72,3.22,0.58,75,61,1,60,65,3,5,3,3.46,3.6,3.47,1.17,35.3,7.4,4.8,31.6,"BPEACOCK-R",0.997253594885104
47160,453329,"Clay Buchholz",33,"ARI",1.8,99,4.41,0.53,105,16,16,0,98.3,7,2,0,2.01,2.29,3.47,1.04,20.6,5.6,3.7,21.6,"CBUCHHOLZ-R",0.972896952017458
68564,592351,"Jon Gray",26,"COL",1.7,86,3.86,0.44,88,31,31,0,172.3,12,9,0,5.12,5.33,4.08,1.35,24.6,7,3.5,29.2,"JGRAY-R",1.03059057838036
49543,489265,"Sergio Romo",35,"TAM",1.7,92,4.11,0.66,95,73,5,68,67.3,3,4,25,4.14,4.14,4.04,1.26,26.4,7,3.8,31.9,"SROMO-R",0.997947089130223
1117,282332,"CC Sabathia",37,"NYY",1.6,111,4.96,0.62,105,29,29,0,153,9,7,0,3.65,4.24,4.16,1.31,21.1,7.7,2.7,24.9,"CSABATHIA-L",1.01136921126945
70552,607231,"John Gant",25,"STL",1.6,101,4.51,0.51,108,26,19,7,114,7,6,0,3.47,4.26,4.07,1.3,19.5,11.7,1.7,26.4,"JGANT-R",1.01703295213554
102770,642152,"Lou Trivino",26,"OAK",1.6,90,4.02,0.57,90,69,1,68,74,8,3,4,2.92,2.92,3.69,1.14,27.4,10.4,2.6,29.9,"LTRIVINO-R",1.00744085619358
68320,598287,"Noé Ramirez",28,"LAA",1.5,89,3.99,0.59,92,69,1,68,83.3,7,5,1,4.54,4.64,4.52,1.26,26.9,8.5,3.2,27.9,"NRAMIREZ-R",0.997726180150102
56987,453214,"Steven Wright",33,"BOS",1.5,114,5.1,0.83,109,20,4,16,53.7,3,1,1,2.68,2.85,4.37,1.25,18.8,11.7,1.6,22.9,"SWRIGHT-R",0.987597094051001
45558,435221,"Brandon McCarthy",34,"ATL",1.4,101,4.53,0.64,102,15,15,0,78.7,6,3,0,4.92,5.15,4.79,1.46,19.2,6.2,3.1,16.9,"BMCCARTHY-R",1.0175154504767
60655,572070,"Garrett Richards",30,"LAA",1.4,81,3.65,0.53,85,16,16,0,76.3,5,4,0,3.66,5.07,4.13,1.28,26.9,10.5,2.6,28.5,"GRICHARDS-R",0.985650190932723
70069,607625,"Seth Lugo",28,"NYM",1.4,83,3.7,0.43,87,54,5,49,101.3,3,4,3,2.66,3.2,3.17,1.08,25.1,6.8,3.7,23.2,"SLUGO-R",1.01098791677419
68691,592773,"Ryne Stanek",26,"TAM",1.4,86,3.85,0.55,93,59,29,30,66.3,2,3,0,2.98,3.12,3.55,1.09,30.8,10.3,3,34.2,"RSTANEK-R",1.01187701119724
59639,571666,"Mike Fiers",33,"",1.4,109,4.89,0.48,113,31,30,1,172,12,8,0,3.56,3.72,4.75,1.18,19.5,5.2,3.8,19.8,"MFIERS-R",0.949720263586612
70371,573186,"Marcus Stroman",27,"TOR",1.3,106,4.76,0.58,95,19,19,0,102.3,4,9,0,5.54,5.98,3.91,1.48,17.1,8,2.1,22.4,"MSTROMAN-R",0.99284825226185
49832,467100,"Iván Nova",31,"PIT",1.3,108,4.82,0.55,109,29,29,0,161,9,9,0,4.19,4.58,4.57,1.28,16.7,5.1,3.3,19.9,"INOVA-R",1.00479866496053
70641,608379,"Michael Wacha",26,"STL",1.3,97,4.35,0.54,106,15,15,0,84.3,8,2,0,3.2,3.84,4.22,1.23,20,10.1,2,23.2,"MWACHA-R",0.983327482899183
47850,448855,"Junior Guerra",33,"MIL",1.3,98,4.37,0.52,101,31,26,5,141,6,9,0,4.09,4.72,4.24,1.4,22.3,9,2.5,24.8,"JGUERRA-R",1.01248069128406
45595,450306,"Jason Vargas",35,"NYM",1.3,94,4.23,0.58,98,20,20,0,92,7,9,0,5.77,5.87,5.02,1.41,20.8,7.4,2.8,27.1,"JVARGAS-L",1.03082067344262
57743,518516,"Madison Bumgarner",28,"SFO",1.3,101,4.53,0.56,103,21,21,0,129.7,6,7,0,3.26,3.54,3.99,1.24,19.8,7.8,2.5,21.6,"MBUMGARNER-L",0.962142740566335
57948,543278,"Blaine Hardy",31,"DET",1.2,109,4.87,0.67,106,30,13,17,86,4,5,1,3.56,3.87,3.97,1.17,18.8,6.3,3,20,"BHARDY-L",0.993046534590767
57286,474463,"Brett Anderson",30,"OAK",1.2,115,5.13,0.67,100,17,17,0,80.3,4,5,0,4.48,4.71,4.17,1.28,14.1,3.9,3.6,17.1,"BANDERSON-L",0.991344783463389
46155,476451,"Jeremy Hellickson",31,"WAS",1.2,101,4.52,0.51,106,19,19,0,91.3,5,3,0,3.45,4.04,4.22,1.07,17.6,5.4,3.3,19.2,"JHELLICKSON-R",0.970577242520547
70825,605240,"Jace Fry",24,"CWS",1.2,71,3.18,0.52,71,59,1,58,51.3,2,3,4,4.38,4.91,2.67,1.11,32.7,9.3,3.5,34.6,"JFRY-L",1.00920016563238
102044,592761,"Caleb Smith",26,"MIA",1.1,92,4.13,0.6,103,16,16,0,77.3,5,6,0,4.19,4.19,3.96,1.24,27,10.1,2.7,27.4,"CSMITH-L",0.984319456342231
111306,660271,"Shohei Ohtani",23,"LAA",1.1,83,3.7,0.64,89,10,10,0,51.7,4,2,0,3.31,3.31,3.57,1.16,29.9,10.4,2.9,35,"SOHTANI-R",0.992462223817503
58453,489119,"Wade Miley",31,"MIL",1.1,108,4.83,0.58,106,16,16,0,80.7,5,2,0,2.57,3.12,3.59,1.21,14.8,8,1.9,22.4,"WMILEY-L",0.97226032115012
45514,461325,"Tyler Clippard",33,"TOR",1.1,97,4.34,0.76,105,73,1,72,68.7,4,3,7,3.67,3.8,4.24,1.17,29.8,8.1,3.7,31.7,"TCLIPPARD-R",0.997054314875747
100137,643327,"Zack Godley",28,"ARI",1.1,97,4.35,0.46,97,33,32,1,178.3,15,11,0,4.74,5.2,3.82,1.45,23.4,10.2,2.3,27.8,"ZGODLEY-R",1.01641425438121
68391,518774,"Matt Harvey",29,"",1.1,92,4.12,0.45,100,32,28,4,155,7,9,0,4.94,5.05,4.57,1.3,19.8,5.6,3.5,20.6,"MHARVEY-R",0.988691530021938
100945,622491,"Luis Castillo",25,"CIN",1.1,88,3.94,0.45,93,31,31,0,169.7,10,12,0,4.3,4.72,4.32,1.22,23.3,6.9,3.4,28.8,"LCASTILLO-R",0.9882889626524
70913,596133,"Luke Weaver",24,"STL",1.1,103,4.6,0.56,107,30,25,5,136.3,7,11,0,4.95,5.48,4.45,1.5,19.9,8.9,2.2,22.4,"LWEAVER-R",1.02529593309703
102639,641771,"Chad Kuhl",25,"PIT",1,98,4.37,0.58,106,16,16,0,85,5,5,0,4.55,4.98,4.7,1.44,21.7,8.8,2.5,23.6,"CKUHL-R",1.0240184892677
104420,650828,"Edgar Santana",26,"PIT",1,104,4.66,0.64,101,69,0,69,66.3,3,4,0,3.26,3.39,3.58,1.1,19.9,4.4,4.5,26,"ESANTANA-R",1.01273428742975
105950,657571,"Caleb Ferguson",21,"LAD",1,77,3.43,0.56,78,29,3,26,49,7,2,2,3.49,3.86,3.79,1.12,29.2,5.9,4.9,26.3,"CFERGUSON-L",1.01827627193044
70445,605242,"Michael Fulmer",25,"DET",1,105,4.69,0.58,107,24,24,0,132.3,3,12,0,4.69,5.1,4.52,1.31,19.7,8.2,2.4,23.4,"MFULMER-R",1.01532272940658
65947,542881,"Tyler Anderson",28,"COL",1,98,4.39,0.47,103,32,32,0,176,7,9,0,4.55,4.81,4.57,1.27,22.3,8,2.8,25.3,"TANDERSON-L",1.04785756230247
102124,621056,"Hunter Wood",24,"TAM",1,98,4.37,0.8,99,29,8,21,41,1,1,0,3.73,3.73,3.7,1.46,23.5,10.1,2.3,30.2,"HWOOD-R",0.997259325320095
66339,570666,"Luis Cessa",26,"NYY",1,110,4.93,0.7,103,16,5,11,44.7,1,4,2,5.24,5.44,3.74,1.43,20,6.7,3,27,"LCESSA-R",1.0068958709318
100518,621107,"Zach Eflin",24,"PHI",1,91,4.06,0.5,95,24,24,0,128,11,8,0,4.36,4.85,3.8,1.3,22.4,6.8,3.3,23.9,"ZEFLIN-R",0.988073217158885
58857,543557,"Mike Montgomery",28,"CUB",0.9,104,4.66,0.51,99,38,19,19,124,5,6,0,3.99,4.21,3.93,1.37,16.1,7.3,2.2,21.7,"MMONTGOMERY-L",0.991484427633966
70798,605540,"Brandon Woodruff",25,"MIL",0.9,82,3.65,0.59,84,19,4,15,42.3,3,0,1,3.61,3.83,3.3,1.18,26.7,8,3.4,25.3,"BWOODRUFF-R",1.00167561541884
58289,543883,"Nick Vincent",31,"SEA",0.9,103,4.6,0.72,107,62,1,61,56.3,4,4,0,3.99,4.47,3.75,1.15,23.4,6.3,3.7,24.4,"NVINCENT-R",0.997811736825906
100606,621366,"Ryan Borucki",24,"TOR",0.9,116,5.2,0.67,105,17,17,0,97.7,4,6,0,3.87,4.42,3.8,1.32,16.1,8,2,19.4,"RBORUCKI-L",0.997380221483341
104483,650895,"Diego Castillo",24,"TAM",0.9,78,3.49,0.51,82,43,11,32,56.7,4,2,0,3.18,3.34,3.3,0.95,29.3,8.1,3.6,31.4,"DCASTILLO-R",0.985391340032182
58921,543699,"Tanner Roark",31,"WAS",0.9,100,4.46,0.48,105,31,30,1,180.3,9,15,0,4.34,4.49,4.27,1.28,19.2,6.6,2.9,20.2,"TROARK-R",1.01187263307316
102336,630023,"Yonny Chirinos",24,"TAM",0.9,102,4.57,0.55,101,18,7,11,89.7,5,5,0,3.51,4.01,3.51,1.22,20.3,6.8,3,24.1,"YCHIRINOS-R",1.02031546809414
57163,519455,"Jordan Zimmermann",32,"DET",0.8,114,5.12,0.65,116,25,25,0,131.3,7,8,0,4.52,5.21,4.88,1.26,20,4.7,4.3,20.7,"JZIMMERMANN-R",1.01427388492563
51645,500779,"José Quintana",29,"CUB",0.8,101,4.52,0.56,105,32,32,0,174.3,13,11,0,4.03,4.18,4.43,1.32,21.4,9.2,2.3,20.8,"JQUINTANA-L",1.00297535757466
100188,572403,"Drew VerHagen",27,"DET",0.8,94,4.21,0.61,94,41,1,40,56.3,3,3,0,4.63,4.63,3.83,1.15,22.7,8.2,2.8,28.7,"DVERHAGEN-R",1.00410387579588
48674,453385,"Clayton Richard",34,"SDG",0.7,116,5.18,0.57,108,27,27,0,158.7,7,11,0,5.33,5.56,4.68,1.38,15.8,8.8,1.8,19.3,"CRICHARD-L",1.01311338333602
100612,621381,"Matt Strahm",26,"SDG",0.7,83,3.72,0.52,89,41,5,36,61.3,3,4,0,2.05,2.35,3.36,0.98,28.2,8.6,3.3,27.9,"MSTRAHM-L",0.991498212942387
70514,606965,"Chris Devenski",27,"HOU",0.7,98,4.4,0.75,100,50,1,49,47.3,2,3,2,4.18,4.37,4.49,1.16,26,6.6,3.9,31.6,"CDEVENSKI-R",0.999280943927641
70610,608331,"Max Fried",24,"ATL",0.7,76,3.38,0.61,77,14,5,9,33.7,1,4,0,2.94,3.21,3.67,1.37,31,14.1,2.2,34.3,"MFRIED-L",1.01177225982551
31361,425794,"Adam Wainwright",36,"STL",0.7,93,4.16,0.71,100,8,8,0,40.3,2,4,0,4.46,4.69,4.28,1.46,22.1,9.9,2.2,23.6,"AWAINWRIGHT-R",0.999154438206005
53026,612672,"Wei-Yin Chen",32,"MIA",0.7,111,4.98,0.6,112,26,26,0,133.3,6,12,0,4.79,5.06,4.43,1.34,19.4,8.2,2.4,20.4,"WCHEN-L",1.01293220374302
102632,641745,"Brad Keller",22,"KAN",0.6,111,4.98,0.53,105,41,20,21,140.3,9,6,0,3.08,3.21,3.55,1.3,16.5,8.6,1.9,21.3,"BKELLER-R",0.977585740852177
68086,595918,"A.J. Cole",26,"",0.6,99,4.42,0.78,103,32,2,30,48.3,4,2,0,6.14,7.08,6.12,1.59,26.7,10,2.7,33.4,"ACOLE-R",1.01524408119974
70304,543208,"Sam Gaviglio",28,"TOR",0.6,109,4.89,0.6,103,26,24,2,123.7,3,10,0,5.31,5.6,4.69,1.44,19.2,6.9,2.8,21,"SGAVIGLIO-R",1.04005404464368
100323,608717,"Chris Stratton",27,"SFO",0.5,108,4.85,0.56,111,28,26,2,145,10,10,0,5.09,5.4,4.48,1.43,17.9,8.6,2.1,21,"CSTRATTON-R",1.02381535890519
70977,605200,"Zach Davies",25,"MIL",0.5,111,4.97,0.71,114,13,13,0,66,2,7,0,4.77,4.91,4.39,1.33,17.5,7.5,2.3,20.6,"ZDAVIES-R",1.00394861167901
101991,621389,"Ty Blach",27,"SFO",0.5,113,5.07,0.53,102,47,13,34,118.7,6,7,0,4.25,4.7,3.83,1.47,14.6,8,1.8,18.1,"TBLACH-L",0.990120210114322
70497,605538,"Matt Wisler",25,"",0.5,107,4.8,0.62,113,18,3,15,40,1,1,0,4.28,4.5,4.69,1.2,19.3,4.2,4.6,22.6,"MWISLER-R",0.995764776327601
69964,607374,"Nick Tropeano",27,"LAA",0.5,118,5.28,0.84,120,14,14,0,76,5,6,0,4.74,4.86,5.52,1.3,20.3,9.8,2.1,27.4,"NTROPEANO-R",1.017577936264
47415,456501,"Johnny Cueto",32,"SFO",0.5,105,4.72,0.69,110,9,9,0,53,3,2,0,3.23,3.23,4.71,1.11,17.8,6.1,2.9,21.8,"JCUETO-R",0.990902465377676
104803,656547,"Jonathan Holder",25,"NYY",0.5,113,5.08,0.7,115,60,1,59,66,1,3,0,3.14,3.68,3.04,1.09,22.1,7,3.2,24.1,"JHOLDER-R",0.993580285004567
102719,642003,"Cody Reed",25,"CIN",0.4,89,3.98,0.69,82,17,7,10,43,1,3,0,3.98,4.4,3.9,1.4,22.3,8,2.8,24.8,"CREED-L",0.995922462403119
70306,543243,"Sonny Gray",28,"NYY",0.4,104,4.68,0.59,100,30,23,7,130.3,11,9,0,4.9,5.04,4.17,1.5,21.1,9.8,2.2,25.2,"SGRAY-R",1.01787329823682
58617,475115,"Tyson Ross",31,"",0.4,104,4.64,0.51,109,31,23,8,149.7,8,9,0,4.15,4.39,4.39,1.3,19.2,9.8,2,21.7,"TROSS-R",0.976779683590475
51959,453281,"Wade LeBlanc",33,"SEA",0.4,106,4.73,0.58,109,32,27,5,162,9,5,0,3.72,4.11,4.28,1.18,19.6,6,3.3,21.9,"WLEBLANC-L",0.981465764607322
