"bpid","mlbid","Name","Age","Team","WARP","DRA.","DRA","DRA.SD","cFIP","G","GS","GR","IP","W","L","SV","ERA","RA9","FIP","WHIP","K.","BB.","K.BB","Whiff.","sbid","SPR"
66213,554430,"Zack Wheeler",31,"PHI",5.8,68,3.15,0.33,70,32,32,0,213.3,14,10,0,2.78,3.04,2.59,1.01,29.1,5.4,5.4,26.7,"ZWHEELER",0.960657969384706
107554,669203,"Corbin Burnes",26,"MIL",5.5,57,2.63,0.29,54,28,28,0,167,11,5,0,2.43,2.53,1.63,0.94,35.6,5.2,6.9,37,"CBURNES",0.962780314082669
68557,592332,"Kevin Gausman",30,"SFO",4.9,71,3.31,0.33,76,33,33,0,192,14,6,0,2.81,3.09,3,1.04,29.3,6.5,4.5,31.4,"KGAUSMAN",0.999218255677506
70798,605540,"Brandon Woodruff",28,"MIL",4.8,69,3.18,0.33,75,30,30,0,179.3,9,10,0,2.56,2.71,2.96,0.96,29.8,6.1,4.9,28.4,"BWOODRUFF",0.99347416598528
65957,543037,"Gerrit Cole",30,"NYY",4.7,70,3.25,0.36,70,30,30,0,181.3,16,8,0,3.23,3.42,2.92,1.06,33.5,5.6,5.9,31.9,"GCOLE",0.988834084377164
56753,453286,"Max Scherzer",36,"",4.7,70,3.26,0.32,78,30,30,0,179.3,15,4,0,2.46,2.66,2.97,0.86,34.1,5.2,6.6,34.3,"MSCHERZER",0.952968791403889
48258,450203,"Charlie Morton",37,"ATL",4.6,71,3.32,0.35,77,33,33,0,185.7,14,6,0,3.34,3.73,3.17,1.04,28.6,7.7,3.7,29.1,"CMORTON",0.991880267061286
107174,621111,"Walker Buehler",26,"LAD",4.6,77,3.57,0.38,86,33,33,0,207.7,16,4,0,2.47,2.64,3.15,0.97,26,6.4,4.1,26.5,"WBUEHLER",0.991619252601509
70943,605400,"Aaron Nola",28,"PHI",4.3,75,3.47,0.38,78,32,32,0,180.7,9,9,0,4.63,4.73,3.37,1.13,29.8,5.2,5.7,28,"ANOLA",1.02012791592341
70473,605397,"Joe Musgrove",28,"SDG",4,78,3.61,0.39,85,32,31,1,181.3,11,9,0,3.18,3.38,3.7,1.08,27.1,7.2,3.8,29.7,"JMUSGROVE",0.981298255486662
67083,592662,"Robbie Ray",29,"TOR",3.9,81,3.76,0.44,84,32,32,0,193.3,13,7,0,2.84,2.89,3.69,1.04,32.1,6.7,4.8,32.4,"RRAY-L",0.979221778667547
53155,506433,"Yu Darvish",34,"SDG",3.8,76,3.55,0.43,84,30,30,0,166.3,8,11,0,4.22,4.38,3.9,1.09,29.2,6.5,4.5,27.4,"YDARVISH",0.997975077355382
103056,642547,"Freddy Peralta",25,"MIL",3.7,71,3.32,0.46,83,28,27,1,144.3,10,5,0,2.81,2.93,3.12,0.97,33.6,9.7,3.5,34.5,"FPERALTA",0.979416405756607
105007,657277,"Logan Webb",24,"SFO",3.6,71,3.29,0.39,68,27,26,1,148.3,11,3,0,3.03,3.22,2.72,1.11,26.5,6,4.4,28.8,"LWEBB",0.973313241731755
102652,641816,"Tyler Mahle",26,"CIN",3.6,81,3.78,0.43,88,33,33,0,180,13,6,0,3.75,3.9,3.8,1.23,27.7,8.4,3.3,28.5,"TMAHLE",1.00042087273215
70610,608331,"Max Fried",27,"ATL",3.5,80,3.7,0.37,80,28,28,0,165.7,14,7,0,3.04,3.31,3.31,1.09,23.7,6.1,3.9,24.7,"MFRIED-L",0.987170754873031
105703,656302,"Dylan Cease",25,"CWS",3.4,79,3.69,0.54,86,32,32,0,165.7,13,7,0,3.91,4.18,3.4,1.25,31.9,9.6,3.3,34.6,"DCEASE",1.00204125379047
70371,573186,"Marcus Stroman",30,"NYM",3.3,85,3.93,0.39,86,33,33,0,179,10,13,0,3.02,3.52,3.49,1.15,21.6,6,3.6,26.8,"MSTROMAN",0.983892163227232
67740,594798,"Jacob deGrom",33,"NYM",3.3,52,2.41,0.3,46,15,15,0,92,7,2,0,1.08,1.37,1.23,0.55,45.1,3.4,13.3,41.7,"JDEGROM",0.969758409342585
57820,543135,"Nathan Eovaldi",31,"BOS",3.3,86,3.98,0.43,83,32,32,0,182.3,11,9,0,3.75,4,2.79,1.19,25.5,4.6,5.6,26,"NEOVALDI",0.984361903107657
67243,593423,"Frankie Montas",28,"OAK",3.2,87,4.05,0.48,89,32,32,0,187,13,9,0,3.37,3.8,3.37,1.18,26.6,7.3,3.6,29.7,"FMONTAS",0.997492653676305
100261,608337,"Lucas Giolito",26,"CWS",3.1,87,4.04,0.41,94,31,31,0,178.7,11,9,0,3.53,3.73,3.79,1.1,27.9,7.2,3.9,32.2,"LGIOLITO",1.00959722702879
58410,458681,"Lance Lynn",34,"CWS",3.1,83,3.84,0.46,89,28,28,0,157,11,6,0,2.69,2.98,3.31,1.07,27.5,7,3.9,26.7,"LLYNN",0.976522559006009
49786,477132,"Clayton Kershaw",33,"LAD",3,72,3.37,0.4,70,22,22,0,121.7,10,8,0,3.55,3.77,2.99,1.02,29.5,4.3,6.9,34.8,"CKERSHAW-L",1.00033908831043
100945,622491,"Luis Castillo",28,"CIN",3,89,4.14,0.44,88,33,33,0,187.7,8,16,0,3.98,4.51,3.75,1.36,23.9,9.3,2.6,28.9,"LCASTILLO",1.01985952736225
111306,660271,"Shohei Ohtani",26,"LAA",3,76,3.52,0.45,80,23,23,0,130.3,9,2,0,3.18,3.31,3.51,1.09,29.3,8.3,3.5,28.9,"SOHTANI",0.992037596052434
111286,669432,"Trevor Rogers",23,"MIA",3,77,3.57,0.46,78,25,25,0,133,7,8,0,2.64,3.11,2.54,1.15,28.5,8.4,3.4,31,"TROGERS-L",0.981350863290499
69516,605135,"Chris Bassitt",32,"OAK",2.8,85,3.97,0.44,92,27,27,0,157.3,12,4,0,3.15,3.15,3.34,1.06,25,6.1,4.1,23.8,"CBASSITT",0.985529775547815
68564,592351,"Jon Gray",29,"COL",2.8,84,3.91,0.44,89,29,29,0,149,8,12,0,4.59,5.01,4.22,1.33,24.4,9,2.7,26.9,"JGRAY",1.01443822198857
70306,543243,"Sonny Gray",31,"CIN",2.8,81,3.75,0.45,86,26,26,0,135.3,7,9,0,4.19,4.46,3.99,1.22,27,8.7,3.1,26.2,"SGRAY",0.988714581405467
103721,640455,"Sean Manaea",29,"OAK",2.8,90,4.2,0.48,87,32,32,0,179.3,11,10,0,3.91,3.96,3.65,1.23,25.7,5.4,4.7,27,"SMANAEA-L",0.998152403802653
100718,622072,"Alex Wood",30,"SFO",2.6,84,3.91,0.46,84,26,26,0,138.7,10,4,0,3.83,4.09,3.48,1.18,26,6.7,3.9,27.6,"AWOOD-L",0.990636246262086
102443,640470,"Adbert Alzolay",26,"CUB",2.5,81,3.78,0.43,89,29,21,8,125.7,5,13,1,4.58,4.73,4.65,1.16,24.7,6.6,3.8,27.1,"AALZOLAY",0.994936814756021
70795,607192,"Tyler Glasnow",27,"TAM",2.5,66,3.07,0.43,67,14,14,0,88,5,2,0,2.66,2.66,2.77,0.93,36.2,7.9,4.6,37.1,"TGLASNOW",0.980474105039387
70271,605483,"Blake Snell",28,"SDG",2.4,85,3.93,0.57,87,27,27,0,128.7,7,6,0,4.2,4.27,3.82,1.32,30.9,12.5,2.5,31.8,"BSNELL-L",0.977685452876213
108830,669456,"Shane Bieber",26,"CLE",2.4,72,3.35,0.53,74,16,16,0,96.7,7,4,0,3.17,3.35,3.02,1.21,33.1,8.1,4.1,36.5,"SBIEBER",0.967759502759281
111196,677651,"Luis Garcia",24,"HOU",2.4,90,4.19,0.46,95,30,28,2,155.3,11,8,0,3.3,3.59,3.63,1.17,26.4,7.9,3.3,30.6,"LGARCIA",0.993701636886448
