"bpid","mlbid","Name","Age","Team","WARP","DRA.","DRA","DRA.SD","cFIP","G","GS","GR","IP","W","L","SV","ERA","RA9","FIP","WHIP","K.","BB.","K.BB","Whiff.","sbid","SPR"
70335,545333,"Trevor Bauer",30,"LAD",2.4,78,3.62,0.49,91,17,17,0,107.7,8,5,0,2.59,3.01,4.03,1,31.7,8.6,3.7,30.4,"TBAUER",0.995718429761561
108886,668678,"Zac Gallen",25,"ARI",2.2,83,3.87,0.54,90,23,23,0,121.3,4,10,0,4.3,4.52,4.25,1.29,26.6,9.4,2.8,23.6,"ZGALLEN",1.01201096164495
108822,666120,"Ian Anderson",23,"ATL",2,90,4.18,0.51,95,24,24,0,128.3,9,5,0,3.58,3.58,4.12,1.23,23.2,9.9,2.3,28.9,"IANDERSON",0.988362941748991
67148,592836,"Taijuan Walker",28,"NYM",2,96,4.45,0.48,104,30,29,1,159,7,11,0,4.47,4.75,4.57,1.18,22.3,8.4,2.7,23.6,"TWALKER",0.990634684470814
102061,601713,"Nick Pivetta",28,"BOS",2,95,4.43,0.52,100,31,30,1,155,9,8,1,4.53,4.65,4.28,1.3,26.5,9.8,2.7,24.6,"NPIVETTA",0.989819560329255
107151,660623,"Huascar Ynoa",23,"ATL",1.9,79,3.69,0.47,85,18,17,1,91,4,6,0,4.05,4.15,3.93,1.11,26.9,6.7,4,28.3,"HYNOA",1.00257471901296
65801,502043,"Kyle Gibson",33,"",1.9,99,4.62,0.44,100,31,30,1,182,10,9,0,3.71,3.86,3.86,1.22,20.6,8.5,2.4,25.1,"KGIBSON",0.985039774785329
104824,656629,"Michael Kopech",25,"CWS",1.9,65,3.04,0.55,71,44,4,40,69.3,4,3,0,3.5,3.5,2.97,1.13,36.1,8.4,4.3,32.8,"MKOPECH",0.993757135097277
46755,489334,"Craig Stammen",37,"SDG",1.9,79,3.68,0.39,79,67,4,63,88.3,6,3,1,3.06,3.16,3.74,1.04,23.4,3.7,6.4,24.1,"CSTAMMEN",1.00133812813651
70964,607200,"Erick Fedde",28,"WAS",1.8,93,4.34,0.56,95,29,27,2,133.3,7,9,0,5.47,6.08,4.66,1.44,21.7,8.1,2.7,22.3,"EFEDDE",1.01634268880575
65879,518876,"Merrill Kelly",32,"ARI",1.8,98,4.55,0.43,101,27,27,0,158,7,11,0,4.44,4.67,4.1,1.29,19.5,6.1,3.2,20.4,"MKELLY",0.991205497806094
125512,579328,"Yusei Kikuchi",30,"SEA",1.8,98,4.55,0.65,94,29,29,0,157,7,9,0,4.41,4.7,4.61,1.32,24.5,9.3,2.6,27.9,"YKIKUCHI-L",1.00577672064319
128959,656731,"Tylor Megill",25,"NYM",1.8,82,3.81,0.51,88,18,18,0,89.7,4,6,0,4.52,4.62,4.68,1.28,26.1,7.1,3.7,26,"TMEGILL",1.00508334562929
107058,664285,"Framber Valdez",27,"HOU",1.8,95,4.4,0.52,85,22,22,0,134.7,11,6,0,3.14,3.48,4.01,1.25,21.9,10.1,2.2,26.3,"FVALDEZ-L",0.996173089425675
105635,664141,"JT Brubaker",27,"PIT",1.7,93,4.34,0.54,100,24,24,0,124.3,5,13,0,5.36,5.43,5.15,1.29,24,7.1,3.4,27.4,"JBRUBAKER",0.998914653846396
70485,605452,"Joe Ross",28,"WAS",1.7,90,4.2,0.52,96,20,19,1,108,5,9,0,4.17,4.75,4.36,1.22,23.7,7.4,3.2,25.3,"JROSS",0.996290245399676
106610,663978,"Chris Paddack",25,"SDG",1.6,91,4.22,0.52,93,23,22,1,108.3,7,7,0,5.07,5.57,3.78,1.26,21.6,4.8,4.5,24.7,"CPADDACK",1.0013886757388
108957,641778,"Eric Lauer",26,"MIL",1.6,94,4.35,0.53,101,24,20,4,118.7,7,5,0,3.19,3.49,4.04,1.14,23.9,8.4,2.9,24.1,"ELAUER-L",0.998139995540001
50167,502171,"Alex Cobb",33,"LAA",1.6,88,4.07,0.62,85,18,18,0,93.3,8,3,0,3.76,4.44,2.92,1.26,24.9,8.4,3,26.6,"ACOBB",0.995307689502378
127605,666201,"Alek Manoah",23,"TOR",1.6,93,4.31,0.58,98,20,20,0,111.7,9,2,0,3.22,3.55,3.79,1.05,27.7,8.7,3.2,29.9,"AMANOAH",0.981874257371213
100518,621107,"Zach Eflin",27,"PHI",1.5,92,4.29,0.55,93,18,18,0,105.7,4,7,0,4.17,4.43,3.68,1.25,22.4,3.6,6.2,23,"ZEFLIN",1.00421314195777
111116,656557,"Tanner Houck",25,"BOS",1.5,78,3.64,0.5,79,18,13,5,69,1,5,1,3.52,4.17,2.57,1.13,30.5,7.4,4.1,30.9,"THOUCK",0.996292121536849
121380,669302,"Logan Gilbert",24,"SEA",1.4,97,4.49,0.6,98,24,24,0,119.3,6,5,0,4.68,4.75,3.73,1.17,25.4,5.6,4.6,27.2,"LGILBERT",1.00016110453726
58441,543521,"Collin McHugh",34,"TAM",1.4,77,3.59,0.53,78,37,7,30,64,6,1,1,1.55,2.11,2.12,0.94,30,4.9,6.2,31.8,"CMCHUGH",0.989124438271657
102051,594577,"Mike Mayers",29,"LAA",1.4,84,3.88,0.62,90,72,2,70,75,5,5,2,3.84,3.84,3.83,1.29,28.6,8.3,3.5,29.2,"MMAYERS",1.006802052665
100206,592866,"Trevor Williams",29,"",1.4,89,4.13,0.57,93,23,15,8,91,4,2,0,4.35,5.04,3.88,1.49,22.2,7.7,2.9,24.2,"TWILLIAMS",0.994186346582342
107254,663776,"Patrick Sandoval",24,"LAA",1.3,90,4.2,0.55,90,17,14,3,87,3,6,1,3.62,3.93,4.03,1.21,25.9,9.9,2.6,34,"PSANDOVAL-L",0.99172856814961
106414,664208,"Phil Maton",28,"",1.3,82,3.8,0.61,88,65,1,64,66.7,6,0,0,4.73,4.86,3.5,1.44,28.6,10.8,2.7,34.8,"PMATON",0.998247013912182
104779,656427,"Jack Flaherty",25,"STL",1.3,87,4.05,0.62,96,17,15,2,78.3,9,2,0,3.22,4.02,4.21,1.06,26.4,8.1,3.3,28,"JFLAHERTY",0.992533156491656
108828,669622,"Anthony Bender",26,"MIA",1.3,79,3.68,0.55,80,60,1,59,61.3,3,2,3,2.79,3.23,3.18,1.06,28.7,8.1,3.5,30.2,"ABENDER",0.998825748691693
70641,608379,"Michael Wacha",29,"TAM",1.3,99,4.59,0.56,98,29,23,6,124.7,3,5,0,5.05,5.27,4.47,1.31,22.9,5.9,3.9,23.1,"MWACHA",1.01551002351023
137044,669373,"Tarik Skubal",24,"DET",1.3,103,4.8,0.72,104,31,29,2,149.3,8,12,0,4.34,4.58,5.08,1.26,25.9,7.4,3.5,26.9,"TSKUBAL-L",1.00776202468312
106195,664299,"Cristian Javier",24,"HOU",1.2,96,4.48,0.68,107,36,9,27,101.3,4,1,2,3.55,3.64,4.43,1.18,30.7,12.5,2.5,31.8,"CJAVIER",0.997380099115853
99874,571760,"Andrew Heaney",30,"",1.2,102,4.72,0.6,103,30,23,7,129.7,8,9,0,5.83,5.9,4.85,1.32,26.9,7.3,3.7,28.2,"AHEANEY-L",1.01757229371979
70445,605242,"Michael Fulmer",28,"DET",1.2,86,3.98,0.63,88,52,4,48,69.7,5,6,14,2.97,3.49,3.45,1.28,24.6,6.7,3.6,29.8,"MFULMER",1.00358616204708
69545,605288,"Adrian Houser",28,"MIL",1.2,103,4.8,0.47,104,28,26,2,142.3,10,6,0,3.22,3.86,4.33,1.28,17.5,10.7,1.6,18.6,"AHOUSER",1.01198862742816
58404,476595,"Lucas Luetge",34,"NYY",1.2,88,4.08,0.62,87,57,1,56,72.3,4,2,1,2.74,3.73,2.84,1.13,25.9,5,5.2,27.5,"LLUETGE-L",0.997206218329807
99954,573124,"Taylor Rogers",30,"MIN",1.2,65,3,0.53,60,40,0,40,40.3,2,4,9,3.35,4.02,2.13,1.14,35.5,4.8,7.4,29.6,"TROGERS-L",0.981350863290499
68694,592791,"Jameson Taillon",29,"NYY",1.2,104,4.82,0.59,109,29,29,0,144.3,8,6,0,4.3,4.55,4.43,1.21,23.2,7.3,3.2,26.5,"JTAILLON",1.01238154672116
47415,456501,"Johnny Cueto",35,"SFO",1.2,100,4.66,0.57,102,22,21,1,114.7,7,7,0,4.08,4.47,4.05,1.37,20,6.1,3.3,22.9,"JCUETO",0.999225637967227
99821,571927,"Steven Matz",30,"TOR",1.2,105,4.87,0.61,97,29,29,0,150.7,14,7,0,3.82,4.18,3.78,1.33,22.3,6.6,3.3,22.2,"SMATZ-L",1.00535739854277
103789,596295,"Austin Gomber",27,"COL",1.2,101,4.67,0.56,105,23,23,0,115.3,9,9,0,4.53,4.99,4.61,1.24,23.2,8.4,2.8,26,"AGOMBER-L",0.995969704238688
36959,448179,"Rich Hill",41,"",1.1,106,4.91,0.56,109,32,31,1,158.7,7,8,0,3.86,3.97,4.34,1.21,22.7,8.3,2.7,23.4,"RHILL-L",0.996197678327295
137001,663903,"Brady Singer",24,"KAN",1.1,103,4.77,0.65,97,27,27,0,128.3,5,10,0,4.91,5.68,4.04,1.55,22.4,9,2.5,25.3,"BSINGER",1.00403462826659
99839,572955,"Pierce Johnson",30,"SDG",1.1,83,3.86,0.69,89,63,2,61,58.7,3,4,0,3.22,3.22,3.3,1.26,31.6,11.1,2.9,30.3,"PJOHNSON",1.00036408101218
51645,500779,"José Quintana",32,"",1.1,86,4.02,0.7,87,29,10,19,63,0,3,0,6.43,7.14,4.66,1.73,28.6,11.8,2.4,29.3,"JQUINTANA-L",1.01797667712775
111133,641927,"Bailey Ober",25,"MIN",1.1,98,4.54,0.63,101,20,20,0,92.3,3,3,0,4.19,4.39,4.55,1.2,25.3,5,5.1,24.7,"BOBER",0.987545951166463
57996,543339,"Daniel Hudson",34,"",1.1,81,3.76,0.59,87,54,0,54,51.7,5,3,0,3.31,3.83,3.21,1.08,35.7,7.6,4.7,34.4,"DHUDSON",0.999188379494174
107172,663474,"Triston McKenzie",23,"CLE",1,103,4.79,0.72,111,25,24,1,120,5,9,0,4.95,4.95,4.7,1.18,27.5,11.7,2.3,27.9,"TMCKENZIE",0.994669294933566
102555,641482,"Nestor Cortes",26,"NYY",1,99,4.58,0.75,102,22,14,8,93,2,3,0,2.9,3.1,3.78,1.08,27.5,6.7,4.1,23.8,"NCORTES-L",0.98377311765442
60619,571901,"Aaron Loup",33,"NYM",1,85,3.95,0.56,84,65,2,63,56.7,6,0,0,0.95,1.43,2.44,0.94,26.1,7.3,3.6,27.1,"ALOUP-L",0.998238396648721
102644,641793,"Zack Littell",25,"SFO",1,88,4.08,0.62,93,63,2,61,61.7,4,0,2,2.92,3.5,3.86,1.14,25,9.5,2.6,28.5,"ZLITTELL",1.00656157574363
108873,641540,"Dane Dunning",26,"TEX",1,103,4.77,0.63,96,27,25,2,117.7,5,10,0,4.51,4.67,3.94,1.44,22.3,8.4,2.7,23.4,"DDUNNING",0.999783407452182
68688,592767,"Drew Smyly",32,"ATL",1,105,4.86,0.61,106,29,23,6,126.7,11,4,0,4.48,4.9,5.11,1.37,21.4,7.5,2.9,25.2,"DSMYLY-L",1.01257026596537
102044,592761,"Caleb Smith",29,"ARI",1,103,4.78,0.62,114,45,13,32,113.7,4,9,0,4.83,5.07,5.09,1.37,24.8,12.6,2,27.4,"CSMITH-L",1.01090921242882
71098,607536,"Kyle Freeland",28,"COL",1,104,4.85,0.62,102,23,23,0,120.7,7,8,0,4.33,4.4,4.63,1.42,20.4,7.4,2.8,21.5,"KFREELAND-L",0.985298632247674
59266,501985,"Mike Minor",33,"KAN",1,108,5.02,0.59,106,28,28,0,158.7,8,12,0,5.05,5.22,4.29,1.24,22.3,6.1,3.6,24.4,"MMINOR-L",1.00857366714907
65808,502179,"Paolo Espino",34,"WAS",1,103,4.79,0.55,108,35,19,16,109.7,5,5,1,4.27,4.35,4.45,1.21,20.2,5.5,3.7,20.2,"PESPINO",1.00613654068159
102254,628317,"Kenta Maeda",33,"MIN",0.9,103,4.8,0.68,102,21,21,0,106.3,6,5,0,4.66,5.08,4.1,1.3,24.9,7.1,3.5,29.5,"KMAEDA",1.00218264569275
57701,446321,"Ross Detwiler",35,"",0.9,87,4.03,0.59,94,53,5,48,52.3,3,1,0,4.64,4.82,4.89,1.22,27.1,8.7,3.1,24.1,"RDETWILER-L",1.00226973897676
59351,523260,"Joe Kelly",33,"LAD",0.9,81,3.76,0.55,81,48,0,48,44,2,0,2,2.86,3.27,3.08,0.98,27.5,8.2,3.3,28.2,"JKELLY",0.997777206122396
122776,663554,"Casey Mize",24,"DET",0.9,108,5.03,0.55,110,30,30,0,150.3,7,9,0,3.71,3.83,4.71,1.14,19.3,6.7,2.9,22.7,"CMIZE",0.985404399650585
100368,612434,"Miguel Castro",26,"NYM",0.9,95,4.43,0.6,100,69,2,67,70.3,3,4,0,3.45,3.84,4.36,1.29,25.4,14.2,1.8,32.5,"MCASTRO",0.995507040676505
100591,621295,"Nick Wittgren",30,"CLE",0.9,92,4.29,0.62,94,60,1,59,62.3,2,9,1,5.05,5.49,4.84,1.25,23.6,6.6,3.6,26.3,"NWITTGREN",1.00033385068665
100324,608718,"Brent Suter",31,"MIL",0.9,97,4.5,0.62,94,61,1,60,73.3,12,5,1,3.07,4.17,3.9,1.31,22,7.7,2.9,21.2,"BSUTER-L",1.00358247691074
105417,659275,"Dinelson Lamet",28,"SDG",0.8,85,3.95,0.69,92,22,9,13,47,2,4,0,4.4,4.6,3.93,1.49,27.3,10.5,2.6,32.3,"DLAMET",0.998950300887331
103494,643511,"Tyler Rogers",30,"SFO",0.8,100,4.63,0.55,95,80,0,80,81,7,1,13,2.22,2.56,3.28,1.07,16.9,4,4.2,16.6,"TROGERS-L",0.981350863290499
71295,607644,"John Means",28,"BAL",0.8,109,5.05,0.68,114,26,26,0,146.7,6,9,0,3.62,3.93,4.61,1.03,22.7,4.4,5.2,25.5,"JMEANS-L",0.980118031983457
71326,605507,"Zach Thompson",27,"MIA",0.8,100,4.64,0.62,103,26,14,12,75,3,7,0,3.24,4.2,3.69,1.21,21,8.9,2.4,26.8,"ZTHOMPSON",1.00604524561523
104750,656322,"Sam Coonrod",28,"PHI",0.8,84,3.89,0.68,84,42,2,40,42.3,2,2,2,4.04,4.46,3.71,1.32,25.9,8.1,3.2,24.9,"SCOONROD",1.0061931352133
57424,446372,"Corey Kluber",35,"NYY",0.8,101,4.67,0.71,101,16,16,0,80,5,3,0,3.83,4.16,3.84,1.34,24,9.7,2.5,28.2,"CKLUBER",0.996833129947896
70913,596133,"Luke Weaver",27,"ARI",0.8,97,4.5,0.6,103,13,13,0,65.7,3,6,0,4.25,4.66,4.42,1.19,22.5,7.3,3.1,23.8,"LWEAVER",0.998605433091196
109106,669952,"Mitch White",26,"LAD",0.8,87,4.05,0.62,93,21,4,17,46.7,1,3,0,3.66,5.4,3.83,1.18,24.9,8.6,2.9,23,"MWHITE",1.00177648193641
108053,650633,"Michael King",26,"NYY",0.8,96,4.48,0.69,99,22,6,16,63.3,2,4,0,3.55,4.12,3.86,1.28,22.5,8.7,2.6,24.9,"MKING",1.0104569467653
106975,660761,"José Suarez",23,"LAA",0.7,105,4.88,0.61,102,23,14,9,98.3,8,8,0,3.75,4.12,4.11,1.23,20.6,8.7,2.4,25.8,"JSUAREZ-L",0.983099802692954
106145,664353,"José Urquidy",26,"HOU",0.7,106,4.91,0.59,112,20,20,0,107,8,3,0,3.62,3.62,4.14,0.99,21.3,4.5,4.7,25.1,"JURQUIDY",1.00237047640951
103809,605513,"Spencer Turnbull",28,"DET",0.7,92,4.29,0.61,89,9,9,0,50,4,2,0,2.88,3.24,2.95,0.98,21.9,6,3.7,23.4,"STURNBULL",1.00028373749904
109502,641401,"Connor Brogdon",26,"PHI",0.7,96,4.48,0.64,101,56,1,55,57.7,5,4,1,3.43,4.21,3.77,1.13,21.3,7.7,2.8,29,"CBROGDON",1.00388755914874
71042,595928,"John Curtiss",28,"",0.7,90,4.19,0.64,95,41,2,39,44.3,3,1,0,3.45,4.26,3.82,1.22,23.5,6.4,3.7,27.1,"JCURTISS",1.00162841675805
58823,542914,"Anthony Bass",33,"MIA",0.7,98,4.55,0.64,102,70,1,69,61.3,3,9,0,3.82,4.84,4.93,1.29,22.3,9.2,2.4,26.9,"ABASS",1.00132924560096
111103,640444,"Wil Crowe",26,"PIT",0.7,109,5.05,0.64,110,26,25,1,116.7,4,8,0,5.48,5.79,5.67,1.57,21.2,10.9,1.9,25.5,"WCROWE",0.994224373520713
101249,623167,"Chris Flexen",26,"SEA",0.7,112,5.22,0.58,108,31,31,0,179.7,14,6,0,3.61,3.71,3.89,1.25,16.9,5.4,3.1,19.3,"CFLEXEN",0.97657406505273
104914,657006,"Justin Steele",25,"CUB",0.6,98,4.57,0.67,97,20,9,11,57,4,4,0,4.26,4.58,5.52,1.35,23.8,10.9,2.2,27.6,"JSTEELE-L",1.00664337502536
100305,608678,"Dominic Leone",29,"SFO",0.6,97,4.5,0.67,98,57,4,53,53.7,4,5,2,1.51,2.52,3.07,1.1,22.8,10,2.3,30.4,"DLEONE",0.998733798939934
56468,502706,"Derek Holland",34,"DET",0.6,95,4.43,0.71,94,39,1,38,49.7,3,2,0,5.07,5.26,3.95,1.57,22.7,8.9,2.5,24.2,"DHOLLAND-L",0.999673091739574
107865,664062,"Tony Gonsolin",27,"LAD",0.6,99,4.58,0.83,107,15,13,2,55.7,4,1,0,3.23,3.23,4.53,1.35,27.2,14.2,1.9,29.7,"TGONSOLIN",0.994967745054563
107018,663423,"Trent Thornton",27,"TOR",0.6,97,4.49,0.72,101,37,3,34,49,1,3,0,4.78,6.06,5.45,1.43,24.1,7.4,3.3,23.7,"TTHORNTON",1.00803578707576
100555,621219,"Alec Mills",29,"CUB",0.6,110,5.1,0.62,104,32,20,12,119,6,7,1,5.07,5.67,4.49,1.44,16.8,6.6,2.6,18.6,"AMILLS",0.990946875798326
111244,656849,"David Peterson",25,"NYM",0.6,103,4.77,0.7,101,15,15,0,66.7,2,6,0,5.54,5.94,4.77,1.4,24,10.1,2.4,25.5,"DPETERSON-L",1.02260874189301
104420,650828,"Edgar Santana",29,"ATL",0.6,94,4.35,0.67,99,41,0,41,42.7,3,0,0,3.59,4.22,4.6,1.15,18.9,6.9,2.8,26.5,"ESANTANA",0.998129113023856
54694,456034,"David Price",35,"LAD",0.6,104,4.85,0.63,101,39,11,28,73.7,5,2,1,4.03,4.28,4.23,1.43,17.8,8,2.2,21.1,"DPRICE-L",1.01370926375777
56197,518633,"Danny Duffy",32,"KAN",0.6,102,4.72,0.86,101,13,12,1,61,4,3,0,2.51,2.8,3.4,1.21,25.8,8.7,3,29.2,"DDUFFY-L",0.982733371313732
107636,650644,"Aaron Civale",26,"CLE",0.6,110,5.13,0.56,113,21,21,0,124.3,12,5,0,3.84,4.05,4.82,1.12,19.9,6.2,3.2,21.6,"ACIVALE",0.988478004809181
106691,664074,"Cody Ponce",27,"PIT",0.6,91,4.22,0.73,96,15,2,13,38.3,0,6,0,7.04,7.98,4.94,1.75,20.1,6.1,3.3,22.3,"CPONCE",1.00617820259696
101170,622766,"Miguel Diaz",26,"SDG",0.5,95,4.41,0.74,101,25,2,23,42,3,1,1,3.64,4.07,4.81,1.19,26.7,11,2.4,20.7,"MDIAZ",0.995936102983959
112434,676879,"Aaron Ashby",23,"MIL",0.5,86,4.01,0.75,81,13,4,9,31.7,3,2,1,4.55,5.68,3.58,1.17,29.3,9,3.3,29.9,"AASHBY-L",0.995167188356612
71017,596001,"Jakob Junis",28,"KAN",0.5,94,4.35,0.79,97,16,6,10,39.3,2,4,0,5.26,5.49,4.31,1.4,24.4,7.1,3.4,25.6,"JJUNIS",1.0007892335889
47279,445926,"Jesse Chavez",37,"ATL",0.5,91,4.24,0.6,93,30,4,26,33.7,3,2,0,2.14,2.41,2.01,0.98,27.1,8.3,3.3,17.7,"JCHAVEZ",0.994470110158939
50199,502239,"Trevor Cahill",33,"PIT",0.5,93,4.31,0.78,93,9,8,1,37,1,5,0,6.57,7.05,4.06,1.51,19.3,8.4,2.3,22.9,"TCAHILL",1.01771278131178
