"bpid","mlbid","Name","Age","Team","WARP","DRA.","DRA","DRA.SD","cFIP","G","GS","GR","IP","W","L","SV","ERA","RA9","FIP","WHIP","K.","BB.","K.BB","Whiff.","sbid","SPR"
99938,572750,"Eddie Butler",26,"CUB",-0.3,124,5.81,0.86,121,13,11,2,54.7,4,3,0,3.95,3.95,4.66,1.43,12.7,11.8,1.1,17.3,"EBUTLER-R",0.996888894864774
99821,571927,"Steven Matz",26,"NYM",-0.3,115,5.4,0.77,107,13,13,0,66.7,2,7,0,6.08,6.21,5.05,1.53,16.1,6.4,2.5,18.2,"SMATZ-L",1.00342551538152
47865,461833,"Phil Hughes",31,"MIN",-0.4,146,6.88,1.27,129,14,9,5,53.7,4,3,0,5.87,6.37,5.43,1.58,15.6,5.3,2.9,15.3,"PHUGHES-R",1.00282082714041
50094,502026,"Jeremy Jeffress",29,"",-0.4,101,4.74,0.6,98,61,1,60,65.3,5,2,0,4.68,4.82,5.24,1.64,17.3,11.5,1.5,24,"JJEFFRESS-R",0.997869182325918
47658,462136,"Marco Estrada",33,"TOR",-0.4,116,5.43,0.72,114,33,33,0,186,10,9,0,4.98,5.03,4.61,1.38,21.8,8.8,2.5,24.3,"MESTRADA-R",1.00570796868843
70636,608371,"Lucas Sims",23,"ATL",-0.4,113,5.3,0.85,113,14,10,4,57.7,3,6,0,5.62,5.77,5.07,1.51,17.3,9,1.9,20.6,"LSIMS-R",1.00403271948794
38551,434538,"Francisco Liriano",33,"",-0.4,120,5.64,0.77,111,38,18,20,97,6,7,0,5.66,6.12,4.64,1.63,19.4,12.1,1.6,24.7,"FLIRIANO-L",0.997030063884644
59639,571666,"Mike Fiers",32,"HOU",-0.4,107,5.05,0.61,107,29,28,1,153.3,8,10,0,5.22,5.58,5.43,1.43,21.8,9.2,2.4,21.5,"MFIERS-R",1.01795922040942
67764,594840,"Matt Grace",28,"WAS",-0.5,100,4.69,0.64,97,40,1,39,50,1,0,2,4.32,4.5,3.96,1.36,14.4,8.4,1.7,16.9,"MGRACE-L",0.997248926770515
50185,502212,"Austin Bibens-Dirkx",32,"TEX",-0.5,127,5.97,0.77,123,24,6,18,69.3,5,2,0,4.67,4.67,5.68,1.36,12.7,6.7,1.9,20.8,"ABIBENS-DIRKX-R",0.998885394746692
49127,450308,"Jered Weaver",34,"SDG",-0.5,131,6.17,0.93,126,9,9,0,42.3,0,5,0,7.44,8.72,8.12,1.49,12,6.3,1.9,18.7,"JWEAVER-R",1.02210757288417
100731,622097,"Jake Thompson",23,"PHI",-0.5,101,4.77,0.8,104,11,8,3,46.3,3,2,0,3.88,5.24,5.92,1.55,16.7,10.5,1.6,19.4,"JTHOMPSON-R",0.99826706601507
40375,445060,"Ricky Nolasco",34,"LAA",-0.5,127,5.98,0.7,117,33,33,0,181,6,15,0,4.92,5.07,5.1,1.45,18.2,7.4,2.5,25.3,"RNOLASCO-R",1.00688546984709
70762,596112,"Robert Stephenson",24,"CIN",-0.5,94,4.43,0.69,102,25,11,14,84.7,5,6,1,4.68,5.53,4.92,1.58,22.5,13.8,1.6,29.5,"RSTEPHENSON-R",0.999065444780862
31476,430912,"Matt Cain",32,"SFO",-0.5,137,6.46,0.82,120,27,23,4,124.3,3,11,0,5.43,6.15,5.06,1.66,13.2,8.6,1.5,12.6,"MCAIN-R",1.02192089059185
68099,596271,"Casey Lawrence",29,"",-0.5,99,4.64,0.69,97,27,2,25,55.3,2,3,0,6.34,6.67,5.27,1.84,19.7,9.5,2.1,25.2,"CLAWRENCE-R",1.00190728889543
66008,545363,"Jacob Turner",26,"WAS",-0.5,121,5.67,0.89,118,18,2,16,39,2,3,0,5.08,5.31,5.88,1.49,13.5,8.8,1.5,14.7,"JTURNER-R",1.00475748523982
51845,491624,"César Valdez",32,"",-0.6,121,5.69,0.93,111,11,4,7,30.7,1,1,0,7.63,8.51,5.93,1.7,15,7.9,1.9,24.1,"CVALDEZ-R",1.00986629966007
105425,656546,"Jeff Hoffman",24,"COL",-0.6,103,4.86,0.65,106,23,16,7,99.3,6,5,0,5.89,5.98,4.8,1.47,18.6,9.1,2,19.5,"JHOFFMAN-R",1.0123796352074
71098,607536,"Kyle Freeland",24,"COL",-0.6,114,5.35,0.63,106,33,28,5,156,11,11,0,4.1,4.5,4.57,1.49,15.6,9.2,1.7,18.1,"KFREELAND-L",0.992541336954838
47850,448855,"Junior Guerra",32,"MIL",-0.6,113,5.32,0.85,119,21,14,7,70.3,1,4,0,5.12,5.63,6.58,1.48,21.3,13.7,1.6,27,"JGUERRA-R",1.0098303706366
68743,594742,"Alec Asher",25,"BAL",-0.6,126,5.91,0.86,122,24,6,18,60,2,5,0,5.25,5.4,5.26,1.4,17.7,8.7,2,21.2,"AASHER-R",0.999576558265653
106487,664641,"Aríel Miranda",28,"SEA",-0.7,119,5.59,0.69,125,31,29,2,160,8,7,0,5.12,5.23,5.73,1.27,20.2,9.3,2.2,25.9,"AMIRANDA-L",0.993446404490787
