"Ngames","obsrate","MAE1","MAE2","MAE3","RMSE1","RMSE2","RMSE3","Acc1","Acc2","Acc3","AccOpen","AccClose"
116,0.152597402597403,2.86019172935278,2.51218002168571,2.51411419250625,3.55212565951976,3.31483588537009,3.31556393055318,0.568965517241379,0.482758620689655,0.46551724137931,0.232758620689655,0.25
142,0.176136363636364,2.63449139366971,2.39078077097184,2.39078077097193,3.38208187205041,3.12403193316336,3.1240319331634,0.563380281690141,0.47887323943662,0.47887323943662,0.211267605633803,0.23943661971831
120,0.204951298701299,2.82347983049318,2.6820481083149,2.68204810831489,3.65824517699209,3.55183985313669,3.55183985313669,0.516666666666667,0.466666666666667,0.466666666666667,0.241666666666667,0.241666666666667
108,0.229301948051948,2.25488939694663,2.12483765084341,2.12483765084341,2.96483913511901,2.81193949296947,2.81193949296947,0.583333333333333,0.564814814814815,0.564814814814815,0.25,0.268518518518519
136,0.251217532467532,2.29458296098371,2.15780591614069,2.15786706166261,2.86603292293185,2.71765165447683,2.71764915346355,0.544117647058823,0.529411764705882,0.529411764705882,0.198529411764706,0.220588235294118
124,0.278814935064935,2.3600688120947,2.30766534156121,2.30766534156121,2.90798607784661,2.85146271881388,2.85146271881388,0.516129032258065,0.5,0.5,0.201612903225806,0.282258064516129
122,0.303977272727273,2.29878158029989,2.36383527962141,2.36383527962141,2.89532152933264,3.01371978337947,3.01371978337947,0.60655737704918,0.639344262295082,0.639344262295082,0.278688524590164,0.278688524590164
110,0.328733766233766,2.54071757116495,2.39807546019058,2.39807546019058,3.0739431134494,3.01154174831452,3.01154174831452,0.527272727272727,0.545454545454545,0.545454545454545,0.254545454545455,0.263636363636364
120,0.351055194805195,2.44337391647898,2.37507428300837,2.37507428300837,2.97141167202019,2.94831530856435,2.94831530856435,0.6,0.566666666666667,0.566666666666667,0.266666666666667,0.283333333333333
136,0.375405844155844,2.22126659776953,2.16597859530603,2.16597859530603,2.93298006275231,2.87157055329228,2.87157055329228,0.661764705882353,0.647058823529412,0.647058823529412,0.272058823529412,0.272058823529412
108,0.403003246753247,2.21949155641572,2.16652629033374,2.16652629033374,2.8499343063713,2.79795193935815,2.79795193935815,0.611111111111111,0.611111111111111,0.611111111111111,0.222222222222222,0.240740740740741
124,0.424918831168831,2.27168775326281,2.29000084647152,2.29000084647152,2.89319864146524,2.99706051756708,2.99706051756708,0.645161290322581,0.580645161290323,0.580645161290323,0.25,0.290322580645161
146,0.450081168831169,2.587440516836,2.55565290898911,2.55565290898911,3.17927540664465,3.192952168834,3.192952168834,0.520547945205479,0.520547945205479,0.520547945205479,0.23972602739726,0.280821917808219
108,0.479707792207792,2.60127825107995,2.56225097793759,2.56225097793759,3.30193180901479,3.33304315624461,3.33304315624461,0.611111111111111,0.592592592592593,0.592592592592593,0.25,0.287037037037037
126,0.501623376623377,2.36744623128322,2.34653722408369,2.34653722408379,3.26525327538489,3.28060783196041,3.2806078319605,0.634920634920635,0.634920634920635,0.634920634920635,0.301587301587302,0.317460317460317
116,0.527191558441558,2.76687402830031,2.67442218786111,2.67442218786111,3.71210336284373,3.73719082909531,3.73719082909531,0.568965517241379,0.568965517241379,0.568965517241379,0.275862068965517,0.301724137931034
142,0.550730519480519,2.56032137375873,2.47618215891806,2.47618215891806,3.52172713523881,3.53162200068534,3.53162200068534,0.492957746478873,0.47887323943662,0.47887323943662,0.225352112676056,0.274647887323944
120,0.579545454545455,2.59320160813444,2.60030117890005,2.60030117890005,3.43242116076174,3.44853681240243,3.44853681240243,0.55,0.55,0.55,0.25,0.275
104,0.603896103896104,2.39845210387157,2.40627144328689,2.40627144328689,3.07745533267855,3.14288437089693,3.14288437089693,0.538461538461538,0.596153846153846,0.596153846153846,0.173076923076923,0.211538461538462
138,0.625,2.51860532310422,2.38941898911022,2.38941898911018,3.52035042720419,3.45422205474097,3.45422205474096,0.507246376811594,0.521739130434783,0.521739130434783,0.231884057971014,0.268115942028986
136,0.653003246753247,2.35219024531536,2.30362877006825,2.30362877006823,3.26418693470602,3.27938945352197,3.279389453522,0.661764705882353,0.661764705882353,0.661764705882353,0.294117647058824,0.308823529411765
98,0.680600649350649,2.4248058144497,2.32637545942453,2.32637545942453,2.9370441751019,2.90044090831123,2.90044090831123,0.612244897959184,0.612244897959184,0.612244897959184,0.295918367346939,0.295918367346939
144,0.700487012987013,2.39041772822562,2.30622933045756,2.30622933045756,3.03008804185659,3.00952276271294,3.00952276271294,0.541666666666667,0.555555555555556,0.555555555555556,0.236111111111111,0.222222222222222
108,0.729707792207792,2.44191049423255,2.42305942606416,2.42305942606416,3.53549753562235,3.58775682192632,3.58775682192632,0.518518518518518,0.518518518518518,0.518518518518518,0.25,0.296296296296296
128,0.751623376623377,2.2919205881889,2.28085573508403,2.28085573508403,2.8435715105347,2.82924632211949,2.82924632211949,0.609375,0.609375,0.609375,0.2734375,0.296875
136,0.777597402597403,2.45750298884694,2.4740580017477,2.47259893779448,3.0792435434863,3.09913331572045,3.09647551028596,0.566176470588235,0.566176470588235,0.551470588235294,0.242647058823529,0.294117647058824
108,0.805194805194805,2.44894330147274,2.39003267384654,2.38835788277223,3.04060789064105,2.99360241972988,2.99502640820212,0.462962962962963,0.462962962962963,0.481481481481481,0.231481481481481,0.259259259259259
118,0.82711038961039,2.48475844339043,2.47112610943318,2.46930455234182,3.08702158835899,3.11635371116483,3.11708322456084,0.593220338983051,0.593220338983051,0.593220338983051,0.271186440677966,0.254237288135593
146,0.851055194805195,2.16344031650409,2.14635011571691,2.14306053354212,2.80097641746423,2.79958725484384,2.7962533473702,0.616438356164384,0.616438356164384,0.616438356164384,0.287671232876712,0.308219178082192
108,0.880681818181818,2.65878758863265,2.56715608914912,2.56480515520122,3.39722153597681,3.379955381532,3.37598146521337,0.574074074074074,0.574074074074074,0.592592592592593,0.25,0.259259259259259
112,0.902597402597403,2.46500408563408,2.32500066931784,2.31583549360333,2.91704486149669,2.80811551310746,2.80530359649554,0.589285714285714,0.571428571428571,0.571428571428571,0.223214285714286,0.241071428571429
130,0.925324675324675,2.39148746719669,2.41357696041056,2.41825307982764,3.30006668177974,3.32977423382302,3.33375243318046,0.6,0.584615384615385,0.615384615384615,0.269230769230769,0.269230769230769
138,0.951704545454545,2.71302928355669,2.66528787575384,2.6633840727791,3.48506415257887,3.51424876764453,3.51142865282139,0.579710144927536,0.579710144927536,0.594202898550725,0.289855072463768,0.27536231884058
100,0.979707792207792,2.41099292072081,2.40157714218481,2.39308758533154,3.1162550910735,3.13649586544135,3.12878413121511,0.64,0.62,0.64,0.26,0.27
