"Ngames","obsrate","MAE1","MAE2","MAE3","RMSE1","RMSE2","RMSE3","Acc1","Acc2","Acc3","AccOpen","AccClose"
130,0.150974025974026,2.57950919895345,2.35610333986316,2.35610333986316,3.42290966512612,3.12361137681496,3.12361137681496,0.661538461538462,0.646153846153846,0.646153846153846,0.253846153846154,0.253846153846154
136,0.177353896103896,2.96255613222145,2.82229552171295,2.82229552171295,3.74049165923676,3.57774861764569,3.57774861764569,0.558823529411765,0.544117647058823,0.544117647058823,0.257352941176471,0.272058823529412
102,0.204951298701299,2.78585205763078,2.78033706346899,2.78033706346899,3.69149315613745,3.64592731646138,3.64592731646138,0.666666666666667,0.686274509803922,0.686274509803922,0.303921568627451,0.352941176470588
130,0.225649350649351,2.45149043243904,2.38851942391947,2.38851942391946,3.06324438406677,3.09596285569855,3.09596285569852,0.523076923076923,0.538461538461538,0.538461538461538,0.3,0.315384615384615
138,0.252029220779221,2.55497756312539,2.51817454158297,2.50848091900193,3.43037265267553,3.45454987308896,3.44877963385846,0.594202898550725,0.565217391304348,0.594202898550725,0.268115942028986,0.326086956521739
126,0.280032467532468,2.60225530594677,2.55298538878774,2.55204484473823,3.4204821153162,3.39856859502189,3.39931602796907,0.603174603174603,0.666666666666667,0.698412698412698,0.246031746031746,0.277777777777778
120,0.305600649350649,2.32965740911793,2.29472401141006,2.28747010642706,3.14025926483095,3.07865376307651,3.07649370939077,0.583333333333333,0.583333333333333,0.583333333333333,0.25,0.283333333333333
106,0.329951298701299,2.62388302427088,2.5893057546232,2.58296185321216,3.41897294259706,3.40081830216043,3.38778968644112,0.547169811320755,0.547169811320755,0.547169811320755,0.235849056603774,0.245283018867925
122,0.351461038961039,2.72922429882226,2.70356408787687,2.71120631975827,3.45775301428896,3.39337893522551,3.41016384668889,0.60655737704918,0.622950819672131,0.622950819672131,0.30327868852459,0.295081967213115
142,0.376217532467532,2.3128351509112,2.28926099007121,2.28137330061696,2.85140268918911,2.89690980943752,2.89144597776514,0.605633802816901,0.591549295774648,0.591549295774648,0.274647887323944,0.295774647887324
106,0.405032467532468,2.65902830339709,2.7093060288742,2.71568033559158,3.41459294539428,3.50286404477422,3.49826395615632,0.547169811320755,0.584905660377358,0.566037735849057,0.264150943396226,0.283018867924528
136,0.426542207792208,2.74616545259817,2.76123347508845,2.76607670555231,3.51482633317508,3.53204764284991,3.54313357103418,0.455882352941176,0.426470588235294,0.441176470588235,0.257352941176471,0.294117647058824
104,0.45413961038961,2.3387667790876,2.30561084541815,2.3026152941854,2.97930154898065,2.96784529075855,2.95669454936806,0.557692307692308,0.538461538461538,0.557692307692308,0.240384615384615,0.278846153846154
138,0.475243506493506,2.66774271610772,2.53570805338014,2.53416229185401,3.36456201017373,3.26987953671031,3.27100220756826,0.521739130434783,0.550724637681159,0.550724637681159,0.239130434782609,0.253623188405797
124,0.503246753246753,2.58474362734873,2.53008048769461,2.53172240367902,3.34742630225667,3.3500157584703,3.35410071927553,0.629032258064516,0.645161290322581,0.596774193548387,0.290322580645161,0.258064516129032
118,0.528409090909091,2.52332432650235,2.44663782061758,2.41934009875123,3.22896461031939,3.18748684132472,3.15570174647811,0.576271186440678,0.559322033898305,0.593220338983051,0.26271186440678,0.288135593220339
114,0.552353896103896,2.92072415622181,2.89890401770635,2.91860833456148,3.7357468762419,3.769345207897,3.78544274380778,0.614035087719298,0.578947368421053,0.614035087719298,0.245614035087719,0.254385964912281
142,0.575487012987013,2.57337768395315,2.57109465099396,2.57487608343894,3.40917722857482,3.42764360068282,3.42917605930971,0.605633802816901,0.591549295774648,0.577464788732394,0.267605633802817,0.295774647887324
130,0.604301948051948,2.57677836841931,2.51339422903893,2.51322318765585,3.30337299479478,3.3158048633549,3.34761874299353,0.569230769230769,0.523076923076923,0.492307692307692,0.215384615384615,0.246153846153846
104,0.630681818181818,2.72986972090909,2.72151927132123,2.714007565165,3.29778124952245,3.3050707402177,3.29344726923558,0.653846153846154,0.634615384615385,0.615384615384615,0.298076923076923,0.298076923076923
136,0.651785714285714,2.42540128891028,2.32014830143267,2.30391549355192,3.06396912794652,3.02404052959201,3.02387695792071,0.764705882352941,0.720588235294118,0.691176470588235,0.301470588235294,0.308823529411765
102,0.679383116883117,2.52616013061136,2.61384871182215,2.61737477197463,3.16359637103493,3.26378361538082,3.27448033387234,0.705882352941177,0.705882352941177,0.686274509803922,0.284313725490196,0.343137254901961
138,0.700081168831169,2.72264479627332,2.70778064412044,2.70646007965953,3.64723030279844,3.64960042796188,3.66318685999041,0.565217391304348,0.579710144927536,0.623188405797101,0.246376811594203,0.260869565217391
110,0.728084415584416,3.0411547813898,3.00141029989113,2.99976919665654,4.00362173963711,3.98443556996486,3.98925097746336,0.509090909090909,0.527272727272727,0.527272727272727,0.218181818181818,0.245454545454545
130,0.750405844155844,2.46747151496009,2.40605444256042,2.39685219683646,3.20296382844149,3.19123074096875,3.17556297829139,0.6,0.6,0.6,0.284615384615385,0.307692307692308
134,0.776785714285714,2.85196899049707,2.75619164390693,2.75955510399535,3.77782666643724,3.7000018635794,3.71681060404255,0.567164179104478,0.597014925373134,0.552238805970149,0.223880597014925,0.261194029850746
108,0.803977272727273,2.46860456355443,2.49885987785902,2.48611959543227,3.05358021862131,3.1307439724555,3.12207984943623,0.62962962962963,0.62962962962963,0.592592592592593,0.259259259259259,0.277777777777778
134,0.825892857142857,2.42473382883918,2.36029814296804,2.35029614129645,3.06624189749595,3.03798811129568,3.04000930361476,0.686567164179104,0.686567164179104,0.686567164179104,0.313432835820896,0.343283582089552
136,0.853084415584416,2.59126481652422,2.53506141769669,2.52731112621076,3.5193135741982,3.51351579977668,3.51554962171849,0.558823529411765,0.588235294117647,0.602941176470588,0.257352941176471,0.286764705882353
116,0.880681818181818,2.84868748847534,2.84149946247494,2.81896196320221,3.46924018686641,3.52240593126099,3.5090367885326,0.53448275862069,0.53448275862069,0.568965517241379,0.25,0.275862068965517
106,0.904220779220779,2.5415448880067,2.48590794788764,2.46104097451092,3.11498847529118,3.08300162431146,3.06617057564344,0.547169811320755,0.547169811320755,0.584905660377358,0.264150943396226,0.245283018867925
150,0.925730519480519,2.44414355963114,2.3941814766493,2.37491925831275,3.05800714039886,3.04853028477987,3.0363528815836,0.626666666666667,0.653333333333333,0.64,0.313333333333333,0.313333333333333
112,0.956168831168831,2.46495445736579,2.38300610890526,2.37778653386737,2.9219656355154,2.86451754235956,2.86403953324702,0.607142857142857,0.607142857142857,0.607142857142857,0.285714285714286,0.330357142857143
104,0.978896103896104,2.53014282149768,2.44175979119486,2.42488776492243,3.03095320063353,2.92214697840926,2.92413321359207,0.557692307692308,0.557692307692308,0.538461538461538,0.25,0.269230769230769
