Date,Rot,VH,Team,Pitcher,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,Final,Open,Close,Run Line,,Open OU,,Close OU,
329,901,V,CUB,JLESTER-L,3,1,0,1,0,0,3,0,0,8,-175,-200,-1.5,-125,8,-105,8,-120
329,902,H,MIA,JURENA-R,1,0,3,0,0,0,0,0,0,4,155,170,1.5,105,8,-115,8,100
329,903,V,STL,CMARTINEZ-R,0,2,0,1,0,1,0,0,0,4,105,123,1.5,-185,7,-106,6.5,-125
329,904,H,NYM,NSYNDERGAARD-R,1,2,0,0,5,0,0,1,x,9,-125,-138,-1.5,160,7,-114,6.5,105
329,907,V,PHI,ANOLA-R,1,0,0,0,0,4,0,0,0,5,-125,-131,-1.5,125,8,-110,8,-119
329,908,H,ATL,JTEHERAN-R,0,0,0,0,0,2,0,3,3,8,105,116,1.5,-145,8,-110,8,-101
329,909,V,MIL,CANDERSON-R,0,0,1,0,0,0,0,0,0,2,-115,-131,-1.5,130,8,-110,8,-115
329,910,H,SDG,CRICHARD-L,0,0,0,0,0,0,0,0,1,1,-105,116,1.5,-150,8,-110,8,-105
329,911,V,SFO,TBLACH-L,0,0,0,0,1,0,0,0,0,1,250,256,1.5,125,7,100,7.5,-116
329,912,H,LAD,CKERSHAW-L,0,0,0,0,0,0,0,0,0,0,-300,-306,-1.5,-145,7,-120,7.5,-104
329,913,V,COL,JGRAY-R,1,0,0,0,0,1,0,0,0,2,-115,-101,1.5,-211,9,-119,8,-118
329,914,H,ARI,PCORBIN-L,3,0,0,0,0,3,2,0,x,8,-105,-109,-1.5,177,9,-101,8,-102
329,915,V,MIN,JODORIZZI-R,0,0,0,0,0,0,0,0,2,2,105,117,1.5,-185,9.5,-101,9.5,-105
329,916,H,BAL,DBUNDY-R,0,0,0,0,0,0,2,0,0,3,-125,-127,-1.5,160,9.5,-119,9.5,-115
329,917,V,HOU,JVERLANDER-R,1,0,1,1,0,0,0,1,0,4,-168,-160,-1.5,-110,9,-120,9,-119
329,918,H,TEX,CHAMELS-L,0,0,0,0,0,0,0,0,1,1,148,145,1.5,-110,9,100,9,-101
