Date,Rot,VH,Team,Pitcher,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,Final,Open,Close,Run Line,,Open OU,,Close OU,
403,901,V,STL,WAINWRIGHT-R,0,0,0,0,0,0,0,0,1,1,-115,109,1.5,-230,6.5,-105,6.5,-110
403,902,H,PIT,FLIRIANO-L,0,2,0,0,0,1,0,1,x,4,-105,-119,-1.5,190,6.5,-115,6.5,-110
403,903,V,TOR,MSTROMAN-R,2,0,0,1,0,0,0,2,0,5,-115,111,1.5,-210,7,-115,7,-130
403,904,H,TAM,CARCHER-R,0,0,1,0,0,0,0,0,2,3,-105,-121,-1.5,180,7,-105,7,110
403,907,V,NYM,MHARVEY-R,0,0,0,0,0,0,0,3,0,3,-119,-120,-1.5,145,7,-120,8,-103
403,908,H,KAN,EVOLQUEZ-R,1,0,0,1,0,2,0,0,x,4,-101,110,1.5,-165,7,100,8,-117
404,951,V,SFO,BUMGARNER-L,0,2,2,1,2,0,0,5,0,12,-185,-175,-1.5,-110,7,-120,8,-107
404,952,H,MIL,WPERALTA-R,1,1,1,0,0,0,0,0,0,3,165,155,1.5,-110,7,100,8,-113
404,953,V,WAS,MSCHERZER-R,1,0,0,1,0,0,0,0,1,4,-200,-180,-1.5,-107,6.5,100,7,-115
404,954,H,ATL,JTEHERAN-R,1,0,0,1,0,0,0,1,0,3,170,160,1.5,-113,6.5,-120,7,-105
404,955,V,PHI,HELLICKSON-R,0,2,0,0,0,0,0,0,0,2,120,155,1.5,-140,8.5,100,7.5,100
404,956,H,CIN,RIGLESIAS-R,1,0,0,0,0,0,0,5,x,6,-140,-175,-1.5,120,8.5,-120,7.5,-120
404,957,V,LOS,CKERSHAW-L,2,0,1,0,0,5,3,4,0,15,-175,-200,-1.5,-111,5.5,-110,6,100
404,958,H,SDG,TROSS-R,0,0,0,0,0,0,0,0,0,0,155,170,1.5,-109,5.5,-110,6,-120
404,959,V,COL,DELAROSA-L,0,0,6,1,0,0,0,3,0,10,200,155,1.5,-140,7,-110,8,-110
404,960,H,ARI,ZGREINKE-R,0,1,0,2,2,0,0,0,0,5,-230,-175,-1.5,120,7,-110,8,-110
404,963,V,MIN,ESANTANA-R,0,0,0,0,0,0,2,0,0,2,-101,109,1.5,-200,8,-110,9,-110
404,964,H,BAL,CTILLMAN-R,0,0,0,0,2,0,0,0,1,3,-119,-119,-1.5,170,8,-110,9,-110
404,965,V,SEA,FHERNANDZ-R,1,1,0,0,0,0,0,0,0,2,105,116,1.5,-200,7.5,100,8,-125
404,966,H,TEX,CHAMELS-L,0,0,0,0,3,0,0,0,x,3,-125,-126,-1.5,170,7.5,-120,8,105
404,969,V,TOR,RDICKEY-R,0,0,1,3,1,0,0,0,0,5,-109,107,1.5,-210,7.5,-120,8.5,100
404,970,H,TAM,DSMYLY-L,0,1,0,0,1,1,0,0,0,3,-111,-117,-1.5,180,7.5,100,8.5,-120
404,971,V,CWS,CSALE-L,0,0,4,0,0,0,0,0,0,4,105,-145,-1.5,115,6,-125,7,-105
404,972,H,OAK,RHILL-L,0,0,3,0,0,0,0,0,0,3,-125,130,1.5,-135,6,105,7,-115
404,973,V,CUB,JARRIETA-R,1,0,0,2,0,2,1,0,3,9,-145,-145,-1.5,115,6.5,-105,7,110
404,974,H,LAA,GRICHARDS-R,0,0,0,0,0,0,0,0,0,0,125,130,1.5,-135,6.5,-115,7,-130
405,901,V,STL,MWACHA-R,0,0,2,2,1,0,0,0,0,5,-115,102,1.5,-235,7.5,100,7,-115
405,902,H,PIT,JNIESE-L,0,2,1,0,2,0,0,0,0,6,-105,-112,-1.5,195,7.5,-120,7,-105
405,903,V,SFO,JCUETO-R,0,0,1,1,0,0,0,0,0,2,-140,-158,-1.5,-105,8,-105,8,-120
405,904,H,MIL,JNELSON-R,0,1,0,0,0,0,0,0,0,1,120,143,1.5,-115,8,-115,8,100
405,905,V,COL,CBETTIS-R,0,0,0,6,0,0,0,0,0,6,145,115,1.5,-175,8.5,-105,9,-105
405,906,H,ARI,SMILLER-R,1,0,1,0,0,3,6,0,x,11,-165,-130,-1.5,155,8.5,-115,9,-115
405,907,V,LOS,SKAZMIR-L,0,0,0,3,0,0,0,0,0,3,-140,-115,-1.5,140,6.5,-120,7.5,110
405,908,H,SDG,JSHIELDS-R,0,0,0,0,0,0,0,0,0,0,120,105,1.5,-160,6.5,100,7.5,-130
405,909,V,TOR,ASANCHEZ-R,0,0,0,2,0,0,0,0,0,2,105,-107,-1.5,150,8,-120,8.5,-110
405,910,H,TAM,JODORIZZI-R,0,0,0,1,0,0,0,2,x,3,-125,-103,1.5,-170,8,100,8.5,-110
405,911,V,SEA,HIWAKUMA-R,0,1,0,1,0,0,2,6,0,10,100,-103,1.5,-215,8.5,-105,9,-120
405,912,H,TEX,MPEREZ-L,0,0,0,2,0,0,0,0,0,2,-120,-107,-1.5,185,8.5,-115,9,100
405,913,V,CWS,JQUINTANA-L,0,0,0,0,3,1,0,0,1,5,-115,-113,-1.5,145,7.5,100,7.5,-115
405,914,H,OAK,CBASSITT-R,0,0,1,0,1,0,0,2,0,4,-105,103,1.5,-165,7.5,-120,7.5,-105
405,915,V,NYM,SYNDERGARD-R,0,0,0,2,0,0,0,0,0,2,-125,-127,-1.5,120,7.5,-120,8.5,-120
405,916,H,KAN,CYOUNG-R,0,0,0,0,0,0,0,0,0,0,105,117,1.5,-140,7.5,100,8.5,100
405,917,V,DET,VERLANDER-R,1,3,0,0,1,0,0,0,2,8,-115,-107,-1.5,155,7.5,100,7.5,-125
405,918,H,MIA,WCHEN-L,0,0,0,0,0,3,0,1,3,7,-105,-103,1.5,-175,7.5,-120,7.5,105
405,919,V,CUB,JLESTER-L,0,0,4,0,0,0,2,0,0,6,-130,-125,-1.5,140,7.5,-110,7.5,100
405,920,H,LAA,AHEANEY-L,0,0,0,0,0,1,0,0,0,1,110,115,1.5,-160,7.5,-110,7.5,-120
405,921,V,HOU,DKEUCHEL-L,0,0,0,1,0,1,0,3,0,5,-130,-123,-1.5,148,7,-110,6.5,-115
405,922,H,NYY,MTANAKA-R,0,2,0,0,0,0,0,1,0,3,110,113,1.5,-168,7,-110,6.5,-105
405,923,V,BOS,DPRICE-L,0,0,2,0,0,2,0,0,2,6,-114,113,1.5,-245,6.5,-105,6,-110
405,924,H,CLE,CKLUBER-R,0,0,0,2,0,0,0,0,0,2,-106,-123,-1.5,205,6.5,-115,6,-110
406,951,V,SFO,JSAMARDZI-R,1,1,0,0,0,1,0,0,0,3,-132,-141,-1.5,120,8.5,-105,9,-110
406,952,H,MIL,JUNGMANN-R,1,1,1,0,0,0,1,0,x,4,112,126,1.5,-140,8.5,-115,9,-110
406,953,V,COL,TCHATWOOD-R,2,0,1,0,0,0,1,0,0,4,162,125,1.5,-165,8.5,-115,8.5,-120
