bpid,mlbid,Name,Age,Team,WARP,DRA-,DRA,DRA SD,cFIP,G,GS,GR,IP,W,L,SV,ERA,RA9,FIP,WHIP,K%,BB%,K/BB,Whiff%
125512,579328,Yusei Kikuchi,29,SEA,0.9,81,3.93,0.76,86,9,9,0,47,2,4,0,5.17,5.17,3.3,1.3,24.2,10.3,2.4,30
70069,607625,Seth Lugo,30,NYM,0.9,71,3.44,0.69,81,16,7,9,36.7,3,4,3,5.15,5.4,4.45,1.36,29.4,6.3,4.7,30.1
104902,656954,Justus Sheffield,24,SEA,0.9,94,4.54,0.87,95,10,10,0,55.3,4,3,0,3.58,3.74,3.17,1.3,20.7,8.6,2.4,19.8
107636,650644,Aaron Civale,25,CLE,0.9,95,4.58,0.85,96,12,12,0,74,4,6,0,4.74,4.74,4.03,1.32,22.1,5.1,4.3,25
100574,621244,José Berríos,26,MIN,0.9,90,4.35,0.88,97,12,12,0,63,5,4,0,4,4,4.06,1.32,25.1,9.6,2.6,27.4
109135,666200,Jesús Luzardo,22,OAK,0.8,89,4.3,0.86,93,12,9,3,59,3,2,0,4.12,4.12,4.19,1.27,23.8,6.9,3.5,29.7
104779,656427,Jack Flaherty,24,STL,0.8,81,3.92,0.88,91,9,9,0,40.3,4,3,0,4.91,4.91,4.11,1.21,28.8,9.4,3.1,34.5
102632,641745,Brad Keller,24,KC,0.8,94,4.55,0.77,101,9,9,0,54.7,5,3,0,2.47,2.63,3.43,1.02,16.3,7.9,2.1,19.5
101060,622608,Antonio Senzatela,25,COL,0.8,99,4.78,0.66,105,12,12,0,73.3,5,3,0,3.44,3.56,4.57,1.21,13.5,5.9,2.3,18.5
104002,645261,Sandy Alcantara,24,MIA,0.8,86,4.15,0.81,92,7,7,0,42,3,2,0,3,4.71,3.72,1.19,22.7,8.7,2.6,24.1
60448,572971,Dallas Keuchel,32,CWS,0.8,100,4.84,0.74,102,11,11,0,63.3,6,2,0,1.99,2.13,3.08,1.09,16.3,6.6,2.5,23.8
105635,664141,JT Brubaker,26,PIT,0.8,86,4.19,1.02,92,11,9,2,47.3,1,3,0,4.94,5.13,4.08,1.37,23.4,8.3,2.8,27.6
104855,656756,Jordan Montgomery,27,NYY,0.7,87,4.2,1.03,89,10,10,0,44,2,3,0,5.11,5.52,3.87,1.3,24.4,4.7,5.2,28.2
48258,450203,Charlie Morton,36,TB,0.7,83,4,0.91,89,9,9,0,38,2,2,0,4.74,4.97,3.45,1.39,24.7,5.9,4.2,25
100324,608718,Brent Suter,30,MIL,0.7,73,3.53,0.77,79,16,4,12,31.7,2,0,0,3.13,3.69,3,1.11,29.5,3.9,7.6,31.1
67143,592826,Vince Velasquez,28,PHI,0.7,77,3.75,0.95,87,9,7,2,34,1,1,0,5.56,5.56,4.16,1.56,29.9,11,2.7,26.8
108971,669160,Dustin May,22,LAD,0.7,82,3.99,0.76,94,12,10,2,56,3,1,0,2.57,2.89,4.62,1.09,19.6,7.1,2.8,19.2
102051,594577,Mike Mayers,28,LAA,0.7,75,3.62,0.81,84,29,0,29,30,2,0,2,2.1,3,2.19,0.9,35.5,7.4,4.8,35.7
59626,571578,Patrick Corbin,30,WSH,0.7,104,5.04,1.11,95,11,11,0,65.7,2,7,0,4.66,4.8,4.17,1.57,20.3,6.1,3.3,23.7
70429,605130,Scott Barlow,27,KC,0.7,79,3.83,0.89,85,32,0,32,30,2,1,2,4.2,4.2,3.42,1.2,31.2,7.2,4.3,37.6
103747,622088,Tejay Antone,26,CIN,0.7,77,3.74,0.87,87,13,4,9,35.3,0,3,0,2.8,2.8,3.64,1.02,31.9,11.3,2.8,34.4
100323,608717,Chris Stratton,29,PIT,0.7,81,3.91,0.99,89,27,0,27,30,2,1,0,3.9,5.7,3.19,1.3,29.8,9.9,3,35.3
59473,547888,Masahiro Tanaka,31,NYY,0.7,90,4.38,0.83,97,10,10,0,48,3,3,0,3.56,4.69,4.42,1.17,22.3,4.1,5.5,29.7
108931,641712,Dakota Hudson,25,STL,0.7,86,4.19,0.82,96,8,8,0,39,3,2,0,2.77,3,4.5,1,20.5,9.9,2.1,21.9
106610,663978,Chris Paddack,24,SD,0.6,86,4.18,0.81,94,12,12,0,59,4,5,0,4.73,5.03,5.02,1.22,23.7,4.9,4.8,26
103929,642232,Ryan Yarbrough,28,TB,0.6,99,4.82,0.98,101,11,9,2,55.7,1,4,0,3.56,3.56,3.8,1.19,18.8,5.1,3.7,27.7
105007,657277,Logan Webb,23,SF,0.6,97,4.72,1.04,97,13,11,2,54.3,3,4,0,5.47,6.29,4.17,1.56,18.7,9.8,1.9,22.9
107174,621111,Walker Buehler,25,LAD,0.6,84,4.06,0.98,94,8,8,0,36.7,1,0,0,3.44,4.42,4.36,0.95,28.6,7.5,3.8,28.4
111185,677976,Randy Dobnak,25,MIN,0.6,97,4.69,0.85,96,10,10,0,46.7,6,4,0,4.05,4.05,3.96,1.35,13.5,6.5,2.1,20.6
50167,502171,Alex Cobb,32,BAL,0.6,95,4.62,0.8,100,10,10,0,52.3,2,5,0,4.3,4.64,4.87,1.34,16.8,8,2.1,23.6
109826,676596,Josh Fleming,24,TB,0.6,70,3.41,0.89,84,7,5,2,32.3,5,0,0,2.78,2.78,4.4,1.08,19.2,5.4,3.6,21.1
69545,605288,Adrian Houser,27,MIL,0.6,93,4.49,0.84,95,12,11,1,56,1,6,0,5.3,6.59,4.82,1.5,17.9,8.5,2.1,22.5
107172,663474,Triston McKenzie,22,CLE,0.5,81,3.91,0.89,90,8,6,2,33.3,2,1,0,3.24,3.24,3.91,0.9,33.1,7.1,4.7,29.2
65879,518876,Merrill Kelly,31,ARI,0.5,87,4.19,0.87,93,5,5,0,31.3,3,2,0,2.59,2.59,3.99,0.99,23.2,4,5.8,23.5
103055,642546,Jonathan Hernández,23,TEX,0.5,84,4.05,0.79,90,27,0,27,31,5,1,0,2.9,2.9,3.19,1.03,24.8,6.4,3.9,33.8
111294,656288,Griffin Canning,24,LAA,0.5,109,5.3,1.04,109,11,11,0,56.3,2,3,0,3.99,4.63,4.33,1.37,23.5,9.7,2.4,27.3
60655,572070,Garrett Richards,32,SD,0.5,106,5.12,0.99,107,14,10,4,51.3,2,2,0,4.03,4.03,4.28,1.25,21.6,8,2.7,25.9
108873,641540,Dane Dunning,25,CWS,0.5,93,4.52,1.02,100,7,7,0,34,2,0,0,3.97,4.5,3.99,1.12,24.6,9.2,2.7,27.6
68444,547179,Michael Lorenzen,28,CIN,0.5,87,4.2,0.93,94,18,2,16,33.7,3,1,0,4.28,4.54,3.87,1.4,23.8,11.6,2.1,35.5
71098,607536,Kyle Freeland,27,COL,0.5,111,5.37,0.94,104,13,13,0,70.7,2,3,0,4.33,4.33,4.65,1.42,15.1,7.6,2,20.6
47415,456501,Johnny Cueto,34,SF,0.5,109,5.27,1.07,110,12,12,0,63.3,2,3,0,5.4,5.83,4.64,1.37,20.2,9.4,2.2,20
69156,542882,Matt Andriese,30,LAA,0.4,89,4.33,0.79,97,16,1,15,32,2,4,2,4.5,4.78,4.29,1,26.2,8.7,3,22.6
108430,615698,Cal Quantrill,25,,0.4,93,4.51,0.95,98,18,3,15,32,2,0,1,2.25,3.38,3.91,1.22,23,5.9,3.9,25
52691,453562,Jake Arrieta,34,PHI,0.4,105,5.11,0.99,102,9,9,0,44.3,4,4,0,5.08,5.08,4.66,1.51,16.8,8.4,2,19
46084,457918,J.A. Happ,37,NYY,0.4,103,5.01,0.93,108,9,9,0,49.3,2,2,0,3.47,3.47,4.57,1.05,21.4,7.7,2.8,22.7
102652,641816,Tyler Mahle,25,CIN,0.4,97,4.68,1.07,103,10,9,1,47.7,2,2,0,3.59,3.97,3.88,1.15,29.9,10.4,2.9,33.8
52032,458708,Josh Tomlin,35,ATL,0.4,102,4.93,0.98,103,17,5,12,39.7,2,2,0,4.76,4.99,4.02,1.21,22.1,4.9,4.5,22.9
71295,607644,John Means,27,BAL,0.4,91,4.42,0.95,99,10,10,0,43.7,2,4,0,4.53,4.53,5.6,0.98,23.9,4,6,26.3
70464,605347,Jorge López,27,,0.4,99,4.8,0.95,100,10,6,4,39,2,2,0,6.69,7.38,5.24,1.49,16.1,6.9,2.3,21.3
67243,593423,Frankie Montas,27,OAK,0.4,107,5.17,1.3,107,11,11,0,53,3,5,0,5.6,5.94,4.74,1.51,25.3,9.7,2.6,28.9
57286,474463,Brett Anderson,32,MIL,0.4,97,4.68,0.87,95,10,10,0,47,4,4,0,4.21,4.6,4.38,1.28,15.8,5,3.2,19.7
101992,628711,Julio Urías,23,LAD,0.3,118,5.71,1.1,114,11,10,1,55,3,0,0,3.27,3.27,3.72,1.15,20.1,8,2.5,26
70641,608379,Michael Wacha,28,NYM,0.3,104,5.04,1.35,101,8,7,1,34,1,4,0,6.62,6.88,5.25,1.56,23.7,4.5,5.3,24.6
67148,592836,Taijuan Walker,27,,0.3,104,5.02,0.79,107,11,11,0,53.3,4,3,0,2.7,3.88,4.56,1.16,22.2,8.4,2.6,20.5
107254,663776,Patrick Sandoval,23,LAA,0.3,88,4.25,0.91,95,9,6,3,36.7,1,5,0,5.65,6.38,5.92,1.34,20.8,7.5,2.8,27.6
105736,664199,Taylor Clarke,27,ARI,0.3,108,5.21,1.06,108,12,5,7,43.3,3,0,0,4.36,4.78,5.2,1.29,21.9,11.5,1.9,22.3
103054,642545,Jaime Barria,23,LAA,0.3,113,5.47,1.26,112,7,5,2,32.3,1,0,0,3.62,3.62,3.66,1.11,20.5,6.8,3,23.1
66267,570488,Phillips Valdez,28,BOS,0.3,103,5.01,1.3,102,24,0,24,30.3,1,1,0,3.26,4.75,4.38,1.62,21.9,11.7,1.9,27.7
107828,665620,Deivi García,21,NYY,0.3,111,5.38,1.27,109,6,6,0,34.3,3,2,0,4.98,5.24,4.15,1.19,22.6,4.1,5.5,22.8
105472,641302,Tyler Alexander,25,DET,0.3,105,5.07,1.07,103,14,2,12,36.3,2,3,0,3.96,3.96,5.26,1.32,22.4,5.9,3.8,21.9
70913,596133,Luke Weaver,26,ARI,0.2,120,5.8,1.52,110,12,12,0,52,1,9,0,6.58,6.75,4.67,1.56,23.3,7.6,3.1,24.9
111244,656849,David Peterson,24,NYM,0.2,113,5.47,1.09,111,10,9,1,49.7,6,2,0,3.44,3.62,4.52,1.21,19.5,11.7,1.7,26.2
59266,501985,Mike Minor,32,,0.2,109,5.26,1.05,110,12,11,1,56.7,1,6,0,5.56,5.72,4.64,1.24,25.9,8.4,3.1,27.3
114683,663460,Kris Bubic,22,KC,0.2,109,5.3,1.08,104,10,10,0,50,1,6,0,4.32,5.22,4.75,1.48,22.1,9.9,2.2,24.9
70437,605182,Mike Clevinger,29,,0.2,105,5.11,0.93,109,8,8,0,41.7,3,2,0,3.02,3.02,4.15,1.15,24.7,8.6,2.9,30.4
71000,607391,Chris Mazza,30,BOS,0.2,117,5.67,1.49,110,9,6,3,30,1,2,0,4.8,5.4,4.26,1.63,21.3,11,1.9,28.9
110247,676606,Nick Margevicius,24,SEA,0.2,110,5.32,1.11,107,10,7,3,41.3,2,3,0,4.57,4.57,4.35,1.26,21.2,8.2,2.6,19.9
68794,594965,Daniel Ponce de Leon,28,STL,0.2,103,4.97,1.36,108,9,8,1,32.7,1,3,0,4.96,4.96,5.64,1.32,31.5,14,2.3,31.4
100555,621219,Alec Mills,28,CHC,0.2,105,5.08,0.89,111,11,11,0,62.3,5,5,0,4.48,4.48,5.44,1.16,18.3,7.5,2.4,18
103318,643230,Steven Brault,28,PIT,0.1,107,5.2,1.05,105,11,10,1,42.7,1,3,0,3.38,3.59,3.92,1.2,21.3,12.4,1.7,23.9
60047,543901,Ryan Weber,29,BOS,0.1,104,5.02,0.96,104,17,5,12,43,1,3,0,4.4,4.81,5.54,1.35,14.6,7.6,1.9,15
59494,547942,Kwang Hyun Kim,31,STL,0.1,114,5.55,0.99,110,8,7,1,39,3,0,1,1.62,2.08,3.88,1.03,15.6,7.8,2,18.3
65801,502043,Kyle Gibson,32,TEX,0.1,103,5,0.99,104,12,12,0,67.3,2,6,0,5.35,5.88,5.39,1.53,19.3,10,1.9,23.4
70964,607200,Erick Fedde,27,WSH,0.1,104,5.03,0.88,107,11,8,3,50.3,2,4,0,4.29,4.47,6.15,1.37,12.6,9.9,1.3,15.3
58459,543548,Tommy Milone,33,,0.1,109,5.3,1.2,105,9,9,0,39,1,4,0,6.69,7.85,4.76,1.56,22.1,3.3,6.7,27.7
102639,641771,Chad Kuhl,27,PIT,0.1,107,5.18,1.08,111,11,9,2,46.3,2,3,0,4.27,5.05,5.48,1.36,22.3,14.2,1.6,27
58386,458676,Josh Lindblom,33,MIL,0.1,113,5.48,1.38,112,12,10,2,45.3,2,4,0,5.16,5.16,3.88,1.28,27.2,8.4,3.3,29.8
59304,502624,Chase Anderson,32,TOR,0,101,4.88,1.32,102,10,7,3,33.7,1,2,0,7.22,7.75,6.16,1.63,24.7,6.5,3.8,28.4
106195,664299,Cristian Javier,23,HOU,0,115,5.57,1.12,119,12,10,2,54.3,5,2,0,3.48,3.48,4.94,0.99,25.2,8.4,3,22.5
36959,448179,Rich Hill,40,MIN,0,115,5.57,1.48,111,8,8,0,38.7,2,2,0,3.03,3.03,3.99,1.16,19.9,10.9,1.8,16
45529,461829,Gio González,34,CWS,-0.1,123,5.96,1.43,111,12,4,8,31.7,1,2,0,4.83,5.4,5.5,1.86,22.2,12.4,1.8,32.4
109041,670950,Trevor Richards,27,TB,-0.2,130,6.28,1.38,114,9,4,5,32,0,0,0,5.91,6.75,4.97,1.72,18,7.3,2.5,25.7
111162,657140,Kyle Wright,24,ATL,-0.2,123,5.96,1.37,117,8,8,0,38,2,4,0,5.21,5.45,5.9,1.55,17.9,14.3,1.3,24
45578,434671,Aníbal Sánchez,36,WSH,-0.2,121,5.87,1.3,111,11,11,0,53,4,5,0,6.62,6.79,5.46,1.66,17.6,7.3,2.4,23.7
68564,592351,Jon Gray,28,COL,-0.2,134,6.47,1.37,121,8,8,0,39,2,4,0,6.69,7.15,5.06,1.44,12.6,6.3,2,22.1
107170,663465,Kolby Allard,22,TEX,-0.2,121,5.88,1.48,115,11,8,3,33.7,0,6,0,7.75,7.75,4.71,1.51,21.1,13.2,1.6,23.2
59639,571666,Mike Fiers,35,OAK,-0.3,137,6.66,1.28,122,11,11,0,59,6,3,0,4.58,4.73,4.94,1.37,14.4,6.2,2.3,15.7
100206,592866,Trevor Williams,28,PIT,-0.3,116,5.62,1.12,111,11,11,0,55.3,2,8,0,6.18,6.83,6.3,1.57,19.4,8.3,2.3,24.3
56197,518633,Danny Duffy,31,KC,-0.3,133,6.47,1.42,119,12,11,1,56.3,4,4,0,4.95,5.27,4.75,1.33,23.6,9.1,2.6,25.6
137044,669373,Tarik Skubal,23,DET,-0.3,142,6.88,2.6,120,8,7,1,32,1,4,0,5.62,5.91,5.75,1.22,27.6,8.2,3.4,29.5
45548,452657,Jon Lester,36,CHC,-0.4,126,6.09,1.33,113,12,12,0,61,3,3,0,5.16,5.16,5.14,1.33,15.8,6.4,2.5,18.2
70826,548389,Ross Stripling,30,,-0.4,114,5.5,0.94,112,12,9,3,49.3,3,3,1,5.84,6.75,6.15,1.5,18.2,8.2,2.2,18.9
107173,664045,Thomas Eshelman,26,BAL,-0.5,149,7.2,1.58,128,12,4,8,34.7,3,1,0,3.89,4.41,5.76,1.24,11.2,6.3,1.8,17.3
70803,543101,Anthony DeSclafani,30,CIN,-0.5,136,6.57,1.62,119,9,7,2,33.7,1,2,0,7.22,7.22,6.1,1.69,15.8,10.1,1.6,23.2
99821,571927,Steven Matz,29,NYM,-0.5,121,5.89,2.04,112,9,6,3,30.7,0,5,0,9.68,9.68,7.76,1.7,25.4,7,3.6,23.4
107169,622065,Alex Young,26,ARI,-0.5,135,6.53,1.5,118,15,7,8,46.3,2,4,0,5.44,5.83,5.57,1.4,19.1,6.9,2.8,24.5
58533,527048,Martín Pérez,29,BOS,-0.6,141,6.83,1.35,124,12,12,0,62,3,5,0,4.5,4.79,4.88,1.34,17.6,10.7,1.6,22.3
65947,542881,Tyler Anderson,30,SF,-0.6,156,7.56,1.41,130,13,11,2,59.7,4,3,0,4.37,4.83,4.36,1.39,15.8,9.6,1.6,24.6
56468,502706,Derek Holland,33,PIT,-0.6,130,6.29,1.54,116,12,5,7,40.7,1,3,0,6.86,7.3,6.14,1.4,25.1,8.4,3,26.5
102011,571510,Matthew Boyd,29,DET,-0.7,133,6.45,1.51,117,12,12,0,60.3,3,7,0,6.71,6.86,5.78,1.48,22.1,8.1,2.7,27.9
67154,592879,Asher Wojciechowski,31,BAL,-0.8,148,7.19,2.01,126,10,7,3,37,1,3,0,6.81,7.05,6.68,1.62,18.5,8.9,2.1,25.6
109459,656232,Brandon Bielak,24,HOU,-0.9,147,7.14,1.78,125,12,6,6,32,3,3,0,6.75,7.31,7,1.75,17.6,11.5,1.5,27.5
107737,643290,Justin Dunn,24,SEA,-1.1,148,7.2,1.61,134,10,10,0,45.7,4,1,0,4.34,4.53,6.54,1.36,19.2,15.7,1.2,22.2
58407,543475,Jordan Lyles,29,TEX,-1.1,143,6.94,1.44,124,12,9,3,57.7,1,6,0,7.02,7.65,5.95,1.56,13.5,8.6,1.6,16.9
102084,608723,Austin Voth,28,WSH,-1.2,156,7.55,2.03,127,11,11,0,49.7,2,5,0,6.34,6.52,6.41,1.51,19.6,8,2.4,22.2
67083,592662,Robbie Ray,28,,-1.2,157,7.61,1.97,128,12,11,1,51.7,2,5,0,6.62,6.97,6.5,1.9,27.1,17.9,1.5,33
105703,656302,Dylan Cease,24,CWS,-1.3,151,7.34,1.75,133,12,12,0,58.3,5,4,0,4.01,4.63,6.36,1.44,17.3,13.3,1.3,25.3
58731,527054,Julio Teheran,29,LAA,-1.4,180,8.74,2.12,137,10,9,1,31.3,0,4,0,10.05,10.05,8.62,1.76,13.4,10.7,1.3,14.6
58921,543699,Tanner Roark,33,TOR,-1.4,162,7.87,2.28,127,11,11,0,47.7,2,3,0,6.8,7.36,6.86,1.74,18.6,10.5,1.8,26.8
101608,624418,Ryan Castellani,24,COL,-1.4,157,7.61,1.51,136,10,9,1,43.3,1,4,0,5.82,6.23,7.78,1.45,13.2,13.8,1,25
57743,518516,Madison Bumgarner,30,ARI,-1.5,190,9.22,2.73,137,9,9,0,41.7,1,4,0,6.48,6.7,7.18,1.44,15.8,6.8,2.3,17.4
