bpid,mlbid,Name,Age,Team,WARP,DRA-,DRA,DRA SD,cFIP,G,GS,GR,IP,W,L,SV,ERA,RA9,FIP,WHIP,K%,BB%,K/BB,Whiff%
108830,669456,Shane Bieber,25,CLE,2.8,51,2.45,0.44,58,12,12,0,77.3,8,1,0,1.63,1.75,2.07,0.87,41.1,7.1,5.8,40.7
70943,605400,Aaron Nola,27,PHI,2.4,57,2.74,0.57,70,12,12,0,71.3,5,5,0,3.28,3.91,3.19,1.08,33.2,8,4.2,31.3
67740,594798,Jacob deGrom,32,NYM,2.3,55,2.68,0.55,66,12,12,0,68,4,2,0,2.38,2.78,2.26,0.96,38.8,6.7,5.8,41
100945,622491,Luis Castillo,27,CIN,2.1,61,2.94,0.55,68,12,12,0,70,4,6,0,3.21,3.99,2.65,1.23,30.5,8.2,3.7,32.8
53155,506433,Yu Darvish,33,CHC,2,64,3.12,0.51,74,12,12,0,76,8,3,0,2.01,2.13,2.23,0.96,31.3,4.7,6.6,32.2
107058,664285,Framber Valdez,26,HOU,2,65,3.13,0.51,69,11,10,1,70.7,5,3,0,3.57,4.08,2.85,1.12,26.4,5.6,4.8,24.4
70798,605540,Brandon Woodruff,27,MIL,1.9,62,3,0.51,74,13,13,0,73.7,3,5,0,3.05,3.18,3.2,0.99,31.1,6.1,5.1,29
100273,608566,Germán Márquez,25,COL,1.9,77,3.75,0.7,87,13,13,0,81.7,4,6,0,3.75,4.52,3.28,1.26,21.2,7.3,2.9,26.3
105417,659275,Dinelson Lamet,27,SD,1.9,65,3.15,0.61,78,12,12,0,69,3,1,0,2.09,2.35,2.48,0.86,34.8,7.5,4.7,32.6
107554,669203,Corbin Burnes,25,MIL,1.8,61,2.97,0.61,71,12,9,3,59.7,4,1,0,2.11,2.26,2.03,1.02,36.7,10,3.7,34.8
102254,628317,Kenta Maeda,32,MIN,1.8,61,2.98,0.5,76,11,11,0,66.7,6,1,0,2.7,2.7,3,0.75,32.3,4,8,34.8
100518,621107,Zach Eflin,26,PHI,1.7,70,3.37,0.75,77,11,10,1,59,4,2,0,3.97,4.27,3.39,1.27,28.6,6.1,4.7,24
100261,608337,Lucas Giolito,25,CWS,1.7,73,3.54,0.6,85,12,12,0,72.3,4,3,0,3.48,3.86,3.19,1.04,33.7,9.7,3.5,36.6
65957,543037,Gerrit Cole,29,NYY,1.7,75,3.63,0.7,87,12,12,0,73,7,3,0,2.84,3.33,3.89,0.96,32.6,5.9,5.5,34.2
70335,545333,Trevor Bauer,29,CIN,1.7,74,3.56,0.61,88,11,11,0,73,5,4,0,1.73,2.1,2.88,0.79,36,6.1,5.9,30.4
66213,554430,Zack Wheeler,30,PHI,1.6,81,3.95,0.58,87,11,11,0,71,4,2,0,2.92,3.3,3.22,1.17,18.4,5.6,3.3,22.7
108886,668678,Zac Gallen,24,ARI,1.6,76,3.69,0.76,86,12,12,0,72,3,2,0,2.75,3,3.66,1.11,28.2,8.6,3.3,30.4
60787,547943,Hyun Jin Ryu,33,TOR,1.6,71,3.42,0.64,77,12,12,0,67,5,2,0,2.69,2.96,3.01,1.15,26.2,6.2,4.2,26.3
68557,592332,Kevin Gausman,29,SF,1.6,68,3.3,0.63,81,12,10,2,59.7,3,3,0,3.62,3.92,3.09,1.11,32.2,6.5,4.9,33.1
56753,453286,Max Scherzer,35,WSH,1.6,79,3.82,0.91,86,12,12,0,67.3,5,4,0,3.74,4.01,3.46,1.38,31.2,7.8,4,32.6
70795,607192,Tyler Glasnow,26,TB,1.5,61,2.95,0.7,73,11,11,0,57.3,5,1,0,4.08,4.08,3.66,1.13,38.2,9.2,4.1,32.8
102491,641154,Pablo López,24,MIA,1.5,70,3.37,0.64,80,11,11,0,57.3,6,4,0,3.61,4.24,3.09,1.19,24.6,7.5,3.3,26.5
70753,605164,Dylan Bundy,27,LAA,1.5,81,3.9,0.73,91,11,11,0,65.7,6,3,0,3.29,3.7,2.95,1.04,27,6.4,4.2,29.5
31734,425844,Zack Greinke,36,HOU,1.5,83,4.03,0.72,88,12,12,0,67,3,3,0,4.03,4.03,2.8,1.13,24.5,3.3,7.4,27.8
49786,477132,Clayton Kershaw,32,LAD,1.5,71,3.45,0.63,80,10,10,0,58.3,6,2,0,2.16,2.78,3.31,0.84,28.1,3.6,7.8,27.7
47229,471911,Carlos Carrasco,33,CLE,1.4,76,3.68,0.63,85,12,12,0,68,3,4,0,2.91,2.91,3.59,1.21,29.3,9.6,3,32.7
70306,543243,Sonny Gray,30,CIN,1.3,67,3.26,0.72,82,11,11,0,56,5,3,0,3.7,4.18,3.05,1.21,30.6,11.1,2.8,29.6
69172,543294,Kyle Hendricks,30,CHC,1.3,86,4.16,0.64,94,12,12,0,81.3,6,5,0,2.88,2.88,3.55,1,20.3,2.5,8,25
100521,621121,Lance McCullers Jr.,26,HOU,1.3,71,3.42,0.6,80,11,11,0,55,3,3,0,3.93,4.75,3.7,1.16,24.7,8.8,2.8,29.7
68759,594835,Marco Gonzales,28,SEA,1.3,94,4.54,0.88,99,11,11,0,69.7,7,2,0,3.1,3.49,3.32,0.95,23.1,2.5,9.1,19.7
137001,663903,Brady Singer,23,KC,1.1,79,3.84,0.71,93,12,12,0,64.3,4,5,0,4.06,4.06,4.08,1.17,23.2,8.7,2.7,24.3
70610,608331,Max Fried,26,ATL,1.1,85,4.1,0.75,91,11,11,0,56,7,0,0,2.25,2.25,3.1,1.09,22.3,8.5,2.6,25.6
69516,605135,Chris Bassitt,31,OAK,1.1,90,4.36,0.81,96,11,11,0,63,5,2,0,2.29,2.57,3.59,1.16,21.1,6.5,3.2,23
57745,519144,Rick Porcello,31,NYM,1.1,98,4.74,1.05,96,12,12,0,59,1,7,0,5.64,6.25,3.33,1.51,20.7,5.7,3.6,15.5
57820,543135,Nathan Eovaldi,30,BOS,1.1,74,3.58,0.81,80,9,9,0,48.3,4,2,0,3.72,3.72,3.87,1.2,26.1,3.5,7.4,28.1
58410,458681,Lance Lynn,33,TEX,1,92,4.47,0.84,102,13,13,0,84,6,3,0,3.32,3.64,4.19,1.06,25.9,7.3,3.6,25.4
70977,605200,Zach Davies,27,SD,1,91,4.42,0.83,101,12,12,0,69.3,7,4,0,2.73,3.38,3.88,1.07,22.8,6.9,3.3,25.6
70271,605483,Blake Snell,27,TB,1,73,3.53,0.84,81,11,11,0,50,4,2,0,3.24,3.42,4.35,1.2,31,8.9,3.5,34
107865,664062,Tony Gonsolin,26,LAD,1,85,4.14,0.87,96,9,8,1,46.7,2,2,0,2.31,2.51,2.29,0.84,26.1,4,6.6,29.8
70473,605397,Joe Musgrove,27,PIT,1,70,3.37,0.73,82,8,8,0,39.7,1,5,0,3.86,3.86,3.42,1.24,33.1,9.6,3.4,33
103721,640455,Sean Manaea,28,OAK,1,86,4.16,0.74,89,11,11,0,54,4,3,0,4.5,5.33,3.71,1.2,20.3,3.6,5.6,22.1
99874,571760,Andrew Heaney,29,LAA,1,92,4.47,0.8,98,12,12,0,66.7,4,3,0,4.46,4.73,3.79,1.23,25.1,6.8,3.7,28
31361,425794,Adam Wainwright,38,STL,0.9,99,4.81,0.83,104,10,10,0,65.7,5,3,0,3.15,3.43,4.11,1.05,20.6,5.7,3.6,24.2
106846,664350,Sixto Sánchez,21,MIA,0.9,78,3.77,0.64,85,7,7,0,39,3,2,0,3.46,3.46,3.5,1.21,20.9,7,3,24.9
110582,668676,Zach Plesac,25,CLE,0.9,88,4.27,0.8,98,8,8,0,55.3,4,2,0,2.28,2.28,3.39,0.8,27.7,2.9,9.5,29.8
108822,666120,Ian Anderson,22,ATL,0.9,68,3.27,0.74,78,6,6,0,32.3,3,2,0,1.95,3.06,2.54,1.08,29.7,10.1,2.9,29
103809,605513,Spencer Turnbull,27,DET,0.9,91,4.43,0.88,97,11,11,0,56.7,4,4,0,3.97,3.97,3.49,1.34,21.1,12,1.8,28.3
