bpid,mlbid,Name,Age,Team,WARP,DRA-,DRA,DRA SD,cFIP,G,GS,GR,IP,W,L,SV,ERA,RA9,FIP,WHIP,K%,BB%,K/BB,Whiff%
46761,461872,Anthony Swarzak,31,,1.8,77,3.63,0.51,80,70,0,70,77.3,6,4,2,2.33,2.44,2.74,1.03,30,7.3,4.1,31.1
50087,502004,George Kontos,32,,1.8,87,4.11,0.6,90,65,0,65,66.3,1,6,1,3.39,3.66,3.72,1.22,25.2,7.2,3.5,35.8
52032,458708,Josh Tomlin,32,CLE,1.8,113,5.31,0.69,104,26,26,0,141,10,9,0,4.98,5.11,4.12,1.28,18.6,2.4,7.8,19.8
70620,608349,Corey Knebel,25,MIL,1.8,53,2.49,0.6,62,76,0,76,76,1,4,39,1.78,1.78,2.53,1.16,40.8,12.9,3.1,35.3
100206,592866,Trevor Williams,25,PIT,1.8,102,4.77,0.5,103,31,25,6,150.3,7,9,0,4.07,4.37,4.03,1.31,18.2,8.1,2.3,19.5
70977,605200,Zach Davies,24,MIL,1.7,112,5.27,0.6,107,33,33,0,191.3,17,9,0,3.9,4.23,4.22,1.35,15.2,6.7,2.3,17.9
57745,519144,Rick Porcello,28,BOS,1.7,117,5.48,0.63,107,33,33,0,203.3,11,17,0,4.65,5.53,4.6,1.4,20.5,5.4,3.8,21.2
47415,456501,Johnny Cueto,31,SF,1.7,105,4.92,0.62,106,25,25,0,147.3,8,8,0,4.52,4.7,4.49,1.45,21,8.2,2.6,23.2
100305,608678,Dominic Leone,25,TOR,1.6,79,3.73,0.59,85,65,0,65,70.3,3,0,1,2.56,2.82,2.94,1.05,29,8.2,3.5,32.9
59012,541640,Erasmo Ramírez,27,,1.6,102,4.78,0.48,103,37,19,18,131.3,5,6,1,4.39,4.8,4.43,1.17,20.2,5.8,3.5,22.3
70826,548389,Ross Stripling,27,LAD,1.6,85,3.97,0.58,88,49,2,47,74.3,3,5,2,3.75,3.75,3.68,1.18,24.3,6.3,3.9,25.5
70354,571704,Ken Giles,26,HOU,1.6,70,3.28,0.58,74,63,0,63,62.7,1,3,34,2.3,2.3,2.39,1.04,33.6,8.5,4,33.8
51594,500724,JC Ramírez,28,LAA,1.6,112,5.26,0.61,107,27,24,3,147.3,11,10,0,4.15,4.4,4.71,1.34,16.9,7.9,2.1,20.5
60031,543734,Chris Rusin,30,COL,1.6,81,3.82,0.52,81,60,0,60,85,5,1,2,2.65,3.28,3.64,1.11,20.9,5.6,3.7,26.5
70913,596133,Luke Weaver,23,STL,1.6,77,3.6,0.61,77,13,10,3,60.3,7,2,0,3.88,4.03,3.17,1.26,28.6,6.7,4.2,23.4
71343,605218,Carl Edwards Jr.,25,CHC,1.6,67,3.16,0.66,75,73,0,73,66.3,5,4,0,2.98,2.98,3.4,1.01,35.9,14.5,2.5,35.6
58857,543557,Mike Montgomery,27,CHC,1.6,99,4.66,0.53,100,44,14,30,130.7,7,8,3,3.38,3.58,4.07,1.21,18.5,10.2,1.8,20.7
47360,451584,Wade Davis,31,CHC,1.6,73,3.44,0.65,80,59,0,59,58.7,4,2,32,2.3,2.45,3.38,1.14,32.6,11.6,2.8,33.7
102294,628452,Raisel Iglesias,27,CIN,1.6,70,3.29,0.56,77,63,0,63,76,3,3,28,2.49,2.61,2.7,1.11,30.1,8.8,3.4,30.4
100191,580792,Nick Goody,25,CLE,1.5,80,3.78,0.69,89,56,0,56,54.7,1,2,0,2.8,3.29,3.45,1.08,32.6,9,3.6,35.6
67085,592665,Addison Reed,28,,1.5,90,4.21,0.46,96,77,0,77,76,2,3,19,2.84,2.84,3.67,1.05,24.8,4.9,5.1,25.9
49727,472610,Luis García,30,PHI,1.5,87,4.11,0.59,87,66,0,66,71.3,2,5,2,2.65,2.78,3.12,1.22,20.3,8.8,2.3,26.3
45514,461325,Tyler Clippard,32,,1.5,93,4.39,0.6,102,67,0,67,60.3,2,8,5,4.77,4.92,4.57,1.29,27.3,11.7,2.3,30.8
70758,598264,Matt Barnes,27,BOS,1.5,77,3.62,0.55,82,70,0,70,69.7,7,3,1,3.88,4,3.33,1.22,28.9,9.8,3,30.6
100572,621242,Edwin Díaz,23,SEA,1.5,71,3.33,0.61,83,66,0,66,66,4,6,34,3.27,3.82,4.02,1.15,32,11.5,2.8,34.4
101991,621389,Ty Blach,26,SF,1.5,124,5.83,0.64,117,34,24,10,163.7,8,12,0,4.78,5,4.42,1.36,10.5,6.2,1.7,15.6
